"magpiecell","basincode"
"MRT.493",24229
"MRT.494",24229
"MRT.495",24229
"MRT.496",24229
"MRT.497",24229
"MRT.498",24229
"MRT.499",24229
"MRT.500",24229
"MRT.501",24229
"MRT.502",24229
"MRT.503",24229
"MRT.504",24229
"ESH.505",24229
"ESH.506",23904
"ESH.507",24533
"LBR.508",24253
"LBR.509",24192
"LBR.510",24192
"LBR.511",24137
"LBR.512",24137
"GIN.513",24091
"GIN.514",24091
"GIN.515",27033
"GIN.516",27033
"GIN.517",27033
"GIN.518",27033
"GIN.519",27033
"GIN.520",27033
"GIN.521",23635
"GIN.522",23635
"MLI.523",23635
"MLI.524",23635
"MLI.525",23635
"MLI.526",23635
"MLI.527",23635
"MLI.528",24214
"MRT.529",24214
"MRT.530",24214
"MRT.531",24214
"MRT.532",24214
"MRT.533",24214
"MRT.534",24214
"MRT.535",24214
"MRT.536",24229
"MRT.537",24229
"MRT.538",24229
"MRT.539",24229
"MRT.540",24229
"MRT.541",24229
"MRT.542",24229
"MRT.543",24229
"MRT.544",24229
"MRT.545",24229
"MRT.546",24229
"MRT.547",24229
"MRT.548",24229
"MRT.549",24229
"ESH.550",24229
"ESH.551",24447
"ESH.552",24533
"LBR.553",24323
"LBR.554",24253
"LBR.555",24192
"LBR.556",24192
"LBR.557",24137
"GIN.558",24137
"GIN.559",24091
"GIN.560",27033
"GIN.561",27033
"GIN.562",27033
"GIN.563",27033
"GIN.564",27033
"GIN.565",27033
"MLI.566",27033
"MLI.567",23635
"MLI.568",23635
"MLI.569",23635
"MLI.570",23635
"MLI.571",23635
"MLI.572",23635
"MLI.573",24214
"MRT.574",24214
"MRT.575",24214
"MRT.576",24214
"MRT.577",24214
"MRT.578",24214
"MRT.579",24214
"MRT.580",24214
"MRT.581",24229
"MRT.582",24229
"MRT.583",24229
"MRT.584",24229
"MRT.585",24229
"MRT.586",24229
"MRT.587",24229
"MRT.588",24229
"MRT.589",24229
"MRT.590",24229
"MRT.591",24229
"MRT.592",24229
"MRT.593",24229
"MRT.594",24229
"ESH.595",24229
"ESH.596",24447
