"cell","IPCC","IPCC_reduced"
"AUS.54517","tropical_dry","tropical_dry"
"AUS.54524","warm_temperate_dry","temperate_dry"
"AUS.54525","warm_temperate_dry","temperate_dry"
"AUS.54526","warm_temperate_dry","temperate_dry"
"AUS.54527","warm_temperate_dry","temperate_dry"
"AUS.54528","warm_temperate_dry","temperate_dry"
"AUS.54529","warm_temperate_dry","temperate_dry"
"AUS.54530","warm_temperate_dry","temperate_dry"
"AUS.54531","warm_temperate_dry","temperate_dry"
"AUS.54532","warm_temperate_dry","temperate_dry"
"AUS.54533","tropical_dry","tropical_dry"
"AUS.54534","tropical_dry","tropical_dry"
"AUS.54535","tropical_dry","tropical_dry"
"AUS.54536","tropical_dry","tropical_dry"
"AUS.54537","tropical_dry","tropical_dry"
"AUS.54538","tropical_dry","tropical_dry"
"AUS.54539","tropical_dry","tropical_dry"
"AUS.54540","tropical_dry","tropical_dry"
"AUS.54541","tropical_dry","tropical_dry"
"AUS.54542","tropical_dry","tropical_dry"
"AUS.54543","tropical_dry","tropical_dry"
"AUS.54544","tropical_dry","tropical_dry"
"AUS.54545","tropical_dry","tropical_dry"
"AUS.54546","tropical_dry","tropical_dry"
"AUS.54547","tropical_dry","tropical_dry"
"AUS.54548","tropical_dry","tropical_dry"
"AUS.54549","tropical_dry","tropical_dry"
"AUS.54550","tropical_dry","tropical_dry"
"AUS.54551","tropical_dry","tropical_dry"
"AUS.54552","tropical_dry","tropical_dry"
"AUS.54553","tropical_dry","tropical_dry"
"AUS.54554","tropical_dry","tropical_dry"
"AUS.54555","tropical_dry","tropical_dry"
"AUS.54556","tropical_dry","tropical_dry"
"AUS.54557","tropical_dry","tropical_dry"
"AUS.54558","tropical_dry","tropical_dry"
"AUS.54559","tropical_dry","tropical_dry"
"AUS.54560","tropical_dry","tropical_dry"
"AUS.54561","tropical_dry","tropical_dry"
"AUS.54570","warm_temperate_dry","temperate_dry"
"AUS.54571","warm_temperate_dry","temperate_dry"
"AUS.54572","warm_temperate_dry","temperate_dry"
"AUS.54573","warm_temperate_dry","temperate_dry"
"AUS.54574","warm_temperate_dry","temperate_dry"
"AUS.54575","warm_temperate_dry","temperate_dry"
"AUS.54576","warm_temperate_dry","temperate_dry"
"AUS.54577","warm_temperate_dry","temperate_dry"
"AUS.54578","warm_temperate_dry","temperate_dry"
"AUS.54579","warm_temperate_dry","temperate_dry"
"AUS.54580","warm_temperate_dry","temperate_dry"
"AUS.54581","warm_temperate_dry","temperate_dry"
"AUS.54582","tropical_dry","tropical_dry"
"AUS.54583","tropical_dry","tropical_dry"
"AUS.54584","tropical_dry","tropical_dry"
"AUS.54585","tropical_dry","tropical_dry"
"AUS.54586","tropical_dry","tropical_dry"
"AUS.54587","tropical_dry","tropical_dry"
"AUS.54588","tropical_dry","tropical_dry"
"AUS.54589","tropical_dry","tropical_dry"
"AUS.54590","tropical_dry","tropical_dry"
"AUS.54591","tropical_dry","tropical_dry"
