"","X","CountryCode","RegionCode"
"132","Lesotho","LSO","Free"
"133","Lithuania","LTU","PPCA"
"134","Luxembourg","LUX","PPCA"
"135","Latvia","LVA","PPCA"
"136","Macao","MAC","Free"
"137","Saint Martin (French part)","MAF","Free"
"138","Morocco","MAR","Free"
"139","Monaco","MCO","Free"
"140","Moldova, Republic of","MDA","Free"
"141","Madagascar","MDG","Free"
"142","Maldives","MDV","Free"
"143","Mexico","MEX","PPCA"
"144","Marshall Islands","MHL","PPCA"
"145","Macedonia, the former Yugoslav Republic of","MKD","PPCA"
"146","Mali","MLI","Free"
"147","Malta","MLT","Free"
"148","Myanmar","MMR","Free"
"149","Montenegro","MNE","PPCA"
"150","Mongolia","MNG","Free"
"151","Northern Mariana Islands","MNP","Free"
"152","Mozambique","MOZ","Free"
"153","Mauritania","MRT","Free"
"154","Montserrat","MSR","Free"
"155","Martinique","MTQ","Free"
"156","Mauritius","MUS","PPCA"
"157","Malawi","MWI","Free"
"158","Malaysia","MYS","Free"
"159","Mayotte","MYT","Free"
"160","Namibia","NAM","Free"
"161","New Caledonia","NCL","Free"
"162","Niger","NER","Free"
"163","Norfolk Island","NFK","Free"
"164","Nigeria","NGA","Free"
"165","Nicaragua","NIC","Free"
"166","Niue","NIU","PPCA"
"167","Netherlands","NLD","PPCA"
"168","Norway","NOR","Free"
"169","Nepal","NPL","Free"
"170","Nauru","NRU","Free"
"171","New Zealand","NZL","PPCA"
"172","Oman","OMN","Free"
"173","Pakistan","PAK","Free"
"174","Panama","PAN","Free"
"175","Pitcairn","PCN","Free"
"176","Peru","PER","PPCA"
"177","Philippines","PHL","Free"
"178","Palau","PLW","Free"
"179","Papua New Guinea","PNG","Free"
"180","Poland","POL","Free"
"181","Puerto Rico","PRI","Free"
"182","Korea, Democratic People's Republic of","PRK","Free"
"183","Portugal","PRT","PPCA"
"184","Paraguay","PRY","Free"
"185","Palestine, State of","PSE","Free"
"186","French Polynesia","PYF","Free"
"187","Qatar","QAT","Free"
"188","Reunion","REU","Free"
"189","Romania","ROU","Free"
"190","Russian Federation","RUS","Free"
"191","Rwanda","RWA","Free"
"192","Saudi Arabia","SAU","Free"
"193","Sudan","SDN","Free"
"194","Senegal","SEN","PPCA"
"195","Singapore","SGP","PPCA"
"196","South Georgia and the South Sandwich Islands","SGS","Free"
"197","Saint Helena, Ascension and Tristan da Cunha","SHN","Free"
"198","Svalbard and Jan Mayen","SJM","Free"
"199","Solomon Islands","SLB","Free"
"200","Sierra Leone","SLE","Free"
"201","El Salvador","SLV","PPCA"
"202","San Marino","SMR","Free"
"203","Somalia","SOM","Free"
"204","Saint Pierre and Miquelon","SPM","Free"
"205","Serbia","SRB","Free"
"206","South Sudan","SSD","Free"
"207","Sao Tome and Principe","STP","Free"
"208","Suriname","SUR","Free"
"209","Slovakia","SVK","PPCA"
"210","Slovenia","SVN","PPCA"
"211","Sweden","SWE","PPCA"
"212","Swaziland","SWZ","Free"
"213","Sint Maarten (Dutch part)","SXM","Free"
"214","Seychelles","SYC","Free"
"215","Syrian Arab Republic","SYR","Free"
"216","Turks and Caicos Islands","TCA","Free"
"217","Chad","TCD","Free"
"218","Togo","TGO","Free"
"219","Thailand","THA","Free"
"220","Tajikistan","TJK","Free"
"221","Tokelau","TKL","Free"
"222","Turkmenistan","TKM","Free"
"223","Timor-Leste","TLS","Free"
"224","Tonga","TON","Free"
"225","Trinidad and Tobago","TTO","Free"
"226","Tunisia","TUN","Free"
"227","Turkey","TUR","Free"
"228","Tuvalu","TUV","PPCA"
"229","Taiwan, Province of China","TWN","Free"
"230","Tanzania, United Republic of","TZA","Free"
"231","Uganda","UGA","Free"
"232","Ukraine","UKR","PPCA"
"233","United States Minor Outlying Islands","UMI","Free"
"234","Uruguay","URY","PPCA"
"235","United States","USA","Free"
"236","Uzbekistan","UZB","Free"
"237","Holy See (Vatican City State)","VAT","Free"
"238","Saint Vincent and the Grenadines","VCT","Free"
"239","Venezuela, Bolivarian Republic of","VEN","Free"
"240","Virgin Islands, British","VGB","Free"
"241","Virgin Islands, U.S.","VIR","Free"
"242","Viet Nam","VNM","Free"
"243","Vanuatu","VUT","PPCA"
"244","Wallis and Futuna","WLF","Free"
"245","Samoa","WSM","Free"
"246","Yemen","YEM","Free"
"247","South Africa","ZAF","Free"
"248","Zambia","ZMB","Free"
"249","Zimbabwe","ZWE","Free"
