reportingnames,svg objectnames
Resources|Nitrogen|+|Household Food Availability (Mt Nr/yr),
Resources|Nitrogen|+|Food Processing Loss (Mt Nr/yr),
Resources|Nitrogen|Food Processing and Marketing|+|Crops (Mt Nr/yr),
Resources|Nitrogen|Household Food Availability|+|Crops (Mt Nr/yr),foodprocessing_food
Resources|Nitrogen|Food Processing Loss|+|Crops (Mt Nr/yr),foodprocessing_waste
Resources|Nitrogen|Food Processing and Marketing|+|Secondary products (Mt Nr/yr),
Resources|Nitrogen|Household Food Availability|+|Secondary products (Mt Nr/yr),foodprocessing_food
Resources|Nitrogen|Food Processing Loss|+|Secondary products (Mt Nr/yr),foodprocessing_waste
Resources|Nitrogen|Food Processing and Marketing|+|Livestock products (Mt Nr/yr),
Resources|Nitrogen|Household Food Availability|+|Livestock products (Mt Nr/yr),foodprocessing_food
Resources|Nitrogen|Food Processing Loss|+|Livestock products (Mt Nr/yr),foodprocessing_waste
Resources|Nitrogen|Food Processing and Marketing|+|Fish (Mt Nr/yr),
Resources|Nitrogen|Household Food Availability|+|Fish (Mt Nr/yr),foodprocessing_food
Resources|Nitrogen|Food Processing Loss|+|Fish (Mt Nr/yr),foodprocessing_waste
Resources|Nitrogen|Waste (Mt Nr/yr),waste_wasteloss
Resources|Nitrogen|Waste|+|Processing Loss (Mt Nr/yr),processing_waste
Resources|Nitrogen|Waste|+|Slaughter Waste (Mt Nr/yr),
Resources|Nitrogen|Waste|+|Food Processing Loss (Mt Nr/yr),
Resources|Nitrogen|Waste|+|Household Food Waste (Mt Nr/yr),
Resources|Nitrogen|Waste|+|Agricultural Supply Chain Loss (Mt Nr/yr),
Emissions|Nitrogen surplus|+|Agriculture|Animal waste management (Mt Nr/yr),
Resources|Nitrogen|Non-Agricultural Land Budget|Nutrient Surplus (Mt Nr/yr),
Resources|Nitrogen|Pasture Budget|Nutrient Surplus (Mt Nr/yr),
Emissions|Accumulation|Natural and indirect emissions|+|Oceans (Mt Nr/yr),
Resources|Nitrogen|Ocean Budget|River discharge (Mt Nr/yr),water_ocean
Resources|Nitrogen|Ocean Budget|Nitrogen fixation in oceans (Mt Nr/yr),fixation_ocean
Resources|Nitrogen|Ocean Budget|Atmospheric Deposition (Mt Nr/yr),dep_oceans
Resources|Nitrogen|Ocean Budget|Fish (Mt Nr/yr),
Resources|Nitrogen|Ocean Budget|Nutrient Surplus (Mt Nr/yr),
Resources|Nitrogen|Wastewater|Inland freshwater bodies (Mt Nr/yr),sewage_water
