FAOoriginalItem_fromWebsite,FAOaggregatedItem_fromWebsite,ProductionItem,FoodBalanceItem,k,comment
"953|Ghee, of buffalo milk","2740|Butter, Ghee","953|Ghee, of buffalo milk","2740|Butter, Ghee",livst_milk,
"983|Butter and ghee, sheep milk","2740|Butter, Ghee","983|Butter and ghee, sheep milk","2740|Butter, Ghee",livst_milk,
885|Cream fresh,2743|Cream,885|Cream fresh,2743|Cream,livst_milk,
"1020|Milk, whole fresh goat",2848|Milk - Excluding Butter,"1020|Milk, whole fresh goat",2848|Milk - Excluding Butter,livst_milk,
1021|Cheese of goat mlk,2848|Milk - Excluding Butter,1021|Cheese of goat mlk,2848|Milk - Excluding Butter,livst_milk,
"1130|Milk, whole fresh camel",2848|Milk - Excluding Butter,"1130|Milk, whole fresh camel",2848|Milk - Excluding Butter,livst_milk,
"882|Milk, whole fresh cow",2848|Milk - Excluding Butter,"882|Milk, whole fresh cow",2848|Milk - Excluding Butter,livst_milk,
"888|Milk, skimmed cow",2848|Milk - Excluding Butter,"888|Milk, skimmed cow",2848|Milk - Excluding Butter,livst_milk,
"889|Milk, whole condensed",2848|Milk - Excluding Butter,"889|Milk, whole condensed",2848|Milk - Excluding Butter,livst_milk,
"890|Whey, condensed",2848|Milk - Excluding Butter,"890|Whey, condensed",2848|Milk - Excluding Butter,livst_milk,
891|Yoghurt,2848|Milk - Excluding Butter,891|Yoghurt,2848|Milk - Excluding Butter,livst_milk,
"894|Milk, whole evaporated",2848|Milk - Excluding Butter,"894|Milk, whole evaporated",2848|Milk - Excluding Butter,livst_milk,
"895|Milk, skimmed evaporated",2848|Milk - Excluding Butter,"895|Milk, skimmed evaporated",2848|Milk - Excluding Butter,livst_milk,
"896|Milk, skimmed condensed",2848|Milk - Excluding Butter,"896|Milk, skimmed condensed",2848|Milk - Excluding Butter,livst_milk,
"897|Milk, whole dried",2848|Milk - Excluding Butter,"897|Milk, whole dried",2848|Milk - Excluding Butter,livst_milk,
"898|Milk, skimmed dried",2848|Milk - Excluding Butter,"898|Milk, skimmed dried",2848|Milk - Excluding Butter,livst_milk,
"899|Milk, dry buttermilk",2848|Milk - Excluding Butter,"899|Milk, dry buttermilk",2848|Milk - Excluding Butter,livst_milk,
"900|Whey, dry",2848|Milk - Excluding Butter,"900|Whey, dry",2848|Milk - Excluding Butter,livst_milk,
"901|Cheese, whole cow milk",2848|Milk - Excluding Butter,"901|Cheese, whole cow milk",2848|Milk - Excluding Butter,livst_milk,
"904|Cheese, skimmed cow milk",2848|Milk - Excluding Butter,"904|Cheese, skimmed cow milk",2848|Milk - Excluding Butter,livst_milk,
"951|Milk, whole fresh buffalo",2848|Milk - Excluding Butter,"951|Milk, whole fresh buffalo",2848|Milk - Excluding Butter,livst_milk,
"955|Cheese, buffalo milk",2848|Milk - Excluding Butter,"955|Cheese, buffalo milk",2848|Milk - Excluding Butter,livst_milk,
"982|Milk, whole fresh sheep",2848|Milk - Excluding Butter,"982|Milk, whole fresh sheep",2848|Milk - Excluding Butter,livst_milk,
"984|Cheese, sheep milk",2848|Milk - Excluding Butter,"984|Cheese, sheep milk",2848|Milk - Excluding Butter,livst_milk,
"1035|Meat, pig",2733|Pigmeat,"1035|Meat, pig",2733|Pigmeat,livst_pig,
"1089|Meat, bird nes","2735|Meat, Other","1089|Meat, bird nes","2735|Meat, Other",livst_rum,
"1097|Meat, horse","2735|Meat, Other","1097|Meat, horse","2735|Meat, Other",livst_rum,
"1108|Meat, ass","2735|Meat, Other","1108|Meat, ass","2735|Meat, Other",livst_rum,
"1111|Meat, mule","2735|Meat, Other","1111|Meat, mule","2735|Meat, Other",livst_rum,
