CountryA3, Entity,Sector
AGO,Industries,Mining and Quarrying
AGO,Industries,Food & Beverages
AGO,Industries,Textiles and Wearing Apparel
AGO,Industries,Wood and Paper
AGO,Industries,"Petroleum, Chemical and Non-Metallic Mineral Products"
AGO,Industries,Metal Products
AGO,Industries,Electrical and Machinery
AGO,Industries,Transport Equipment
AGO,Industries,Other Manufacturing
AGO,Industries,Recycling
AGO,Industries,"Electricity, Gas and Water"
AGO,Industries,Construction
AGO,Industries,Maintenance and Repair
AGO,Industries,Wholesale Trade
AGO,Industries,Retail Trade
AGO,Industries,Hotels and Restraurants
AGO,Industries,Transport
AGO,Industries,Post and Telecommunications
AGO,Industries,Finacial Intermediation and Business Activities
AGO,Industries,Public Administration
AGO,Industries,"Education, Health and Other Services"
AGO,Industries,Private Households
AGO,Industries,Others
AGO,Industries,Re-export & Re-import
ATG,Industries,Agriculture
ATG,Industries,Fishing
ATG,Industries,Mining and Quarrying
ATG,Industries,Food & Beverages
ATG,Industries,Textiles and Wearing Apparel
ATG,Industries,Wood and Paper
ATG,Industries,"Petroleum, Chemical and Non-Metallic Mineral Products"
ATG,Industries,Metal Products
ATG,Industries,Electrical and Machinery
ATG,Industries,Transport Equipment
ATG,Industries,Other Manufacturing
ATG,Industries,Recycling
ATG,Industries,"Electricity, Gas and Water"
ATG,Industries,Construction
ATG,Industries,Maintenance and Repair
ATG,Industries,Wholesale Trade
ATG,Industries,Retail Trade
ATG,Industries,Hotels and Restraurants
ATG,Industries,Transport
ATG,Industries,Post and Telecommunications
ATG,Industries,Finacial Intermediation and Business Activities
ATG,Industries,Public Administration
ATG,Industries,"Education, Health and Other Services"
ATG,Industries,Private Households
ATG,Industries,Others
ATG,Industries,Re-export & Re-import
ARG,Industries,"Cereals, oilseeds and forage"
ARG,Industries,"Growing of vegetables, legumes, flowers and ornamental plants"
ARG,Industries,Growing fruits and nuts
ARG,Industries,Industrial crops
ARG,Industries,Seed production
ARG,Industries,"Livestock and milk production, wool and hair"
ARG,Industries,Farm Production
ARG,Industries,Agricultural services
ARG,Industries,Hunting
ARG,Industries,Forestry and logging
ARG,Industries,Fishing
ARG,Industries,"Extraction of petroleum, gas, coal and uranium"
ARG,Industries,Mining of metal ores
ARG,Industries,Other mining
ARG,Industries,"Killing of animals, conservation and meat processing"
ARG,Industries,Processing and preserving of fish and fish products
ARG,Industries,Processing and preserving of fruits and vegetables
ARG,Industries,Oils and oilseeds products
ARG,Industries,Dairy Products
ARG,Industries,Grinding wheat and other cereals
ARG,Industries,Feed
ARG,Industries,Bakery Products
ARG,Industries,Sugar
ARG,Industries,"Cocoa, chocolate and sugar confectionery"
ARG,Industries,Pasta
ARG,Industries,Other food products
ARG,Industries,Alcoholic beverages
ARG,Industries,Wine production
ARG,Industries,Beer and malt
ARG,Industries,"Soft drinks, mineral water and other nonalcoholic drinks"
ARG,Industries,Snuff products
ARG,Industries,"Fibers, yarns and weaving of textiles"
ARG,Industries,Finishing of textiles
ARG,Industries,Manufacture of textiles
ARG,Industries,Knitted
ARG,Industries,"Clothing, finishing and dyeing of fur"
ARG,Industries,Leather tanning and finishing
ARG,Industries,Leather goods and leather
ARG,Industries,Footwear and parts
ARG,Industries,Sawmills
ARG,Industries,Wood and wood products
ARG,Industries,Pulp and paper
ARG,Industries,Corrugated paper and paperboard and containers of paper and paperboard
ARG,Industries,Paper and paperboard products
ARG,Industries,"Publishing of books, pamphlets, recordings and other issues"
ARG,Industries,Publishing of newspapers and magazines
ARG,Industries,Printing and reproduction of recorded media
ARG,Industries,Oil Refining
ARG,Industries,Basic Chemicals
ARG,Industries,Fertilizers and pesticides
ARG,Industries,Plastic raw materials and synthetic rubber
ARG,Industries,Paints and varnishes
ARG,Industries,Medicinal products
ARG,Industries,"Soaps, detergents and cosmetics"
ARG,Industries,Other chemicals
ARG,Industries,Manufactured fibers
ARG,Industries,"Tires, inner tubes and retreading of casings"
ARG,Industries,Rubber Products
ARG,Industries,Plastic Products
ARG,Industries,Glass and glass products
ARG,Industries,Ceramic refractory products and non-refractory non-structural
ARG,Industries,Non-refractory clay and ceramic products for structural use
ARG,Industries,"Cement, lime and plaster"
ARG,Industries,"Articles of concrete, cement and plaster"
ARG,Industries,Manufacture of basic iron and steel
ARG,Industries,Nonferrous metallurgy
ARG,Industries,Metal Casting
ARG,Industries,"Metal structures, tanks, reservoirs and steam generators"
ARG,Industries,"Forging, rolling and metal processing"
ARG,Industries,Cutlery and hardware and hand tools
ARG,Industries,Other metal products
ARG,Industries,"Engines, turbines, pumps and compressors"
ARG,Industries,"Gears, ovens, elevators and other general purpose machinery"
ARG,Industries,Tractors and agricultural machinery
ARG,Industries,Other special purpose machinery
ARG,Industries,Household appliances
ARG,Industries,Office machinery and computers
ARG,Industries,"Motors, generators and transformers"
ARG,Industries,Testing equipment and power distribution
ARG,Industries,Insulated wire and cable
ARG,Industries,Accumulators and batteries
ARG,Industries,Electric lamps and lighting equipment
ARG,Industries,"Tubes and radio transmitters, TV and telephony"
ARG,Industries,Radio and TV Receivers
ARG,Industries,"Medical, precision and optical clocks"
ARG,Industries,Motor vehicles
ARG,Industries,Bodies and trailers
ARG,Industries,Auto Parts
ARG,Industries,"Ships, locomotives and aircraft"
ARG,Industries,"Motorcycles, bicycles and other transport"
ARG,Industries,Furniture and mattresses
ARG,Industries,Other manufacturing industries
ARG,Industries,Electricity
ARG,Industries,Gas
ARG,Industries,Water
ARG,Industries,Construction
ARG,Industries,Wholesale
ARG,Industries,Retail Trade
ARG,Industries,Hotels
ARG,Industries,Restaurants
ARG,Industries,Passenger transportation
ARG,Industries,Land freight transport
ARG,Industries,Pipeline Transport
ARG,Industries,Shipping
ARG,Industries,Air transport
ARG,Industries,Transport activities
ARG,Industries,Post service
ARG,Industries,Telecommunications
ARG,Industries,Financial Institutions
ARG,Industries,Insurance
ARG,Industries,Business services and professional
ARG,Industries,Real estate
ARG,Industries,Public administration and defense and social security schemes of compulsory
ARG,Industries,Public education
ARG,Industries,Private Education
ARG,Industries,Public human health
ARG,Industries,Private human health
ARG,Industries,Veterinary services
ARG,Industries,Social Services
ARG,Industries,Sanitation
ARG,Industries,Partnerships Activity
ARG,Industries,"Cinema services, radio and television"
ARG,Industries,"Personal services, repair, sports and leisure activities"
ARG,Industries,Housekeeping
ARG,Industries,Reexport
ARG,Commodities,Cereals
ARG,Commodities,Vegetables and legumes
ARG,Commodities,Fruits and nuts
ARG,Commodities,Oil seeds and oleaginous fruits
ARG,Commodities,"Live plants, flowers and flower buds, seeds of flowers and fruits, vegetable seeds"
ARG,Commodities,Plant crops and spices beverages
ARG,Commodities,Snuff unprocessed
ARG,Commodities,Plants used for sugar manufacturing
ARG,Commodities,Raw vegetable materials nec
ARG,Commodities,Live animals
ARG,Commodities,Other animal products
ARG,Commodities,Raw wood
ARG,Commodities,Natural gums
ARG,Commodities,Other forestry products (includes charcoal)
ARG,Commodities,"Fish live, fresh or chilled"
ARG,Commodities,"Not frozen crustaceans, oysters, other invertebrates, live, fresh or chilled"
ARG,Commodities,Other aquatic products
ARG,Commodities,"Coal and lignite, peat"
ARG,Commodities,Crude oil and natural gas
ARG,Commodities,Ores and concentrates of uranium and thorium
ARG,Commodities,"Iron ores and concentrates, other than roasted iron pyrites"
ARG,Commodities,Ores and concentrates of nonferrous metals (except ores and concentrates of uranium or thorium)
ARG,Commodities,Building or carving stone
ARG,Commodities,"Gypsum; anhydrite, limestone flux, limestone and other calcareous stone, of a kind used for the manufacture of lime or cement"
ARG,Commodities,"Arenas, songs, gravel, broken or crushed stone, natural bitumen and asphalt"
ARG,Commodities,Clays
ARG,Commodities,Chemical and fertilizer minerals
ARG,Commodities,"Salt and pure sodium chloride, sea water"
ARG,Commodities,"Precious and semiprecious stones, pumice stone, emery, natural abrasives, other minerals"
ARG,Commodities,"Electricity, but distribution service"
ARG,Commodities,"Coal gas, water gas, producer gas and other similar gases, other than petroleum gases and other gaseous hydrocarbons"
ARG,Commodities,Meat and meat products
ARG,Commodities,Prepared or preserved fish
ARG,Commodities,Vegetables prepared or preserved
ARG,Commodities,Fruit and vegetable juices
ARG,Commodities,"Fruits and nuts, prepared or preserved"
ARG,Commodities,Oils and animal fats and vegetable
ARG,Commodities,"Cotton linters, oilseed cake, flours of seeds or oleaginous fruits, vegetable waxes"
ARG,Commodities,Dairy Products
ARG,Commodities,"Milling products. starches and starch products, sugars and sugar syrups nec"
ARG,Commodities,Preparations used for animal feed
ARG,Commodities,Bakery Products
ARG,Commodities,Sugar
ARG,Commodities,"Cocoa, chocolate and sugar confectionery"
ARG,Commodities,"Macaroni, noodles, couscous and similar farinaceous products"
ARG,Commodities,Foodstuffs nec
ARG,Commodities,Alcoholic beverages nec
ARG,Commodities,Wines
ARG,Commodities,Beer and malt
ARG,Commodities,"Soft drinks, bottled mineral water"
ARG,Commodities,Snuff products
ARG,Commodities,Natural textile fibers ready for spinning
ARG,Commodities,"Textile staple fibers, processed for spinning"
ARG,Commodities,Yarns and threads for textile fibers
ARG,Commodities,Fabrics
ARG,Commodities,Made-up textile articles
ARG,Commodities,"Clothing, except fur"
ARG,Commodities,"Furskins, tanned or dressed, and artificial skins, articles made with these skins (except headgear)"
ARG,Commodities,"Hardened or pickled leather, synthetic or composition leather"
ARG,Commodities,"Luggage, handbags and similar articles, articles of saddlery, leather goods"
ARG,Commodities,Footwear
ARG,Commodities,"Parts of footwear, insoles, heel cushions and similar articles, gaiters, leggings and similar articles and parts thereof"
ARG,Commodities,Wood sawn or chipped lengthwise
ARG,Commodities,"Wood continuously shaped along any its edges or faces, wood wool, wood flour, wood chips or particles"
ARG,Commodities,Wood products
ARG,Commodities,"Pulp, paper and paperboard"
ARG,Commodities,"Books, brochures, leaflets (except advertising material) printed, printed maps, printed or handwritten sheet music"
ARG,Commodities,"Newspapers, magazines and periodicals"
ARG,Commodities,"Postage stamps, checkbooks, bank notes, promotional materials, prints and other printed"
ARG,Commodities,"Record books, account books, booklets, notes, letter pads and other stationery, paper or cardboard, types of printing plates or cylinders ready for printing or other printing components"
ARG,Commodities,"Gasoline, gas oil, fuel oil and other fuels, other refined petroleum products and preparations nec"
ARG,Commodities,"Petroleum gases and other gaseous hydrocarbons, except natural gas"
ARG,Commodities,"Vaseline, wax and similar products, waste oil or oils obtained from bituminous minerals, nuclear fuel"
ARG,Commodities,"Basic organic chemicals, basic inorganic chemicals nec, chemical products nec"
ARG,Commodities,"Dyeing and tanning extracts, tannins and their derivatives nec dyestuffs"
ARG,Commodities,Fertilizers and pesticides
ARG,Commodities,Plastics in primary forms
ARG,Commodities,"Synthetic rubber, artificial mixtures and similar natural gums"
ARG,Commodities,"Paints and varnishes and related products, colors for painting, ink"
ARG,Commodities,Pharmaceuticals
ARG,Commodities,"Soap, cleaning preparations, perfumes and toilet preparations"
ARG,Commodities,Made textile fibers
ARG,Commodities,"Tyres and inner tubes, rubber"
ARG,Commodities,Other rubber products
ARG,Commodities,Semi-manufactures of plastics
ARG,Commodities,"Articles for the packing of goods, of plastics"
ARG,Commodities,Other plastic products
ARG,Commodities,Glass and glass products
ARG,Commodities,Non-structural ceramic ware
ARG,Commodities,Refractory products and structural non-refractory clay
ARG,Commodities,"Cement, lime and plaster"
ARG,Commodities,"Articles of concrete, cement and plaster"
ARG,Commodities,Carving or building stone and related products
ARG,Commodities,Other non-metallic mineral products nec
ARG,Commodities,Furniture and car seats
ARG,Commodities,"Jewellery and related articles, musical instruments, sports goods, games and toys"
ARG,Commodities,Prefabricated Buildings
ARG,Commodities,Other manufactured nec
ARG,Commodities,Residues from the food industry and snuff
ARG,Commodities,Non-metal waste or scrap
ARG,Commodities,Waste and scrap metal
ARG,Commodities,Iron and steel joint
ARG,Commodities,"Rolled, stretched or bent iron or steel"
ARG,Commodities,"Common precious metals and metals clad with precious metal, copper, nickel, aluminum, alumina, lead, zinc and tin, raw, semi-finished products or their alloys, other nonferrous metals and articles thereof"
ARG,Commodities,Structural metal products and parts
ARG,Commodities,"Tanks, reservoirs and containers of iron, steel or aluminum"
ARG,Commodities,"Steam generators, water (except hot water boilers for central heating) and parts thereof"
ARG,Commodities,Other fabricated metal products
ARG,Commodities,Engines and turbines and parts thereof
ARG,Commodities,"Pumps, compressors, engines, water power and pneumatic power engines and valves and parts thereof"
ARG,Commodities,"Bearings, gears, gear and transmission components and parts thereof"
ARG,Commodities,Ovens and burners to power homes and parts thereof
ARG,Commodities,Lifting and handling equipment and parts thereof
ARG,Commodities,Other general purpose machinery and parts thereof
ARG,Commodities,Agricultural and forestry machinery and parts thereof
ARG,Commodities,Machine tools and parts and accessories
ARG,Commodities,Machinery for metallurgy and parts thereof
ARG,Commodities,"Machinery for mining, quarrying and construction, and parts thereof"
ARG,Commodities,"Machinery for food, beverages and snuff and parts thereof"
ARG,Commodities,"Machinery for the manufacture of textiles, clothing and leather goods and parts thereof"
ARG,Commodities,Arms and ammunition and parts thereof
ARG,Commodities,Household appliances and parts thereof
ARG,Commodities,Other special purpose machinery and parts thereof
ARG,Commodities,"Office machines, accounting and related parts and accessories"
ARG,Commodities,Used computers and parts and accessories
ARG,Commodities,"Motors, generators and transformers and their parts and pieces"
ARG,Commodities,Electrical control devices and distribution of electricity and parts thereof
ARG,Commodities,"Insulated wire and cable, optical fiber cables"
ARG,Commodities,Accumulators and primary batteries and parts thereof
ARG,Commodities,"Incandescent electric lamps or discharge, arc lamps, electric lighting equipment, and parts and pieces"
ARG,Commodities,Other electrical equipment and parts thereof
ARG,Commodities,"Electronic valves and tubes, electronic components and parts and pieces"
ARG,Commodities,Television transmission apparatus and apparatus for broadcasting and telephony and line telegraphy; their parts and accessories
ARG,Commodities,"Radio receivers and television receivers, apparatus for recording or reproduction of sound or television signals, microphones, speakers, amplifiers, etc., Apparatus or radio-telephony receivers"
ARG,Commodities,"Parts for two-way radio broadcasting, radar for navigation devices or remote control by radio waves"
ARG,Commodities,Magnetic tapes and disks for audio or audiovisual equipment. Cards with magnetic strips or chips
ARG,Commodities,Medical and surgical equipment and orthopedic appliances
ARG,Commodities,"Instruments and measuring devices, verification, testing, navigating and other purposes, except optical instruments, process control instruments and industrial parts and accessories"
ARG,Commodities,"Optical instruments and photographic equipment and apparatus, and parts and accessories"
ARG,Commodities,Watches and parts thereof
ARG,Commodities,"Motor vehicles, trailers and parts, parts and accessories"
ARG,Commodities,"Bodies (including cabs) for motor vehicles, trailers, parts and accessories"
ARG,Commodities,Ships. Sports and recreation boats
ARG,Commodities,Locomotives and rolling stock of railway and tramway and parts thereof
ARG,Commodities,Aircraft and spacecraft and parts thereof
ARG,Commodities,Other transport equipment and parts thereof
ARG,Commodities,Nonfinancial intangible assets
ARG,Commodities,Building and construction services
ARG,Commodities,Wholesale trade services
ARG,Commodities,Retail trade services
ARG,Commodities,Hosting Services
ARG,Commodities,"Food supply services, services of beverages for consumption on the premises"
ARG,Commodities,Passenger transport services
ARG,Commodities,Freight services
ARG,Commodities,Pipeline transport services
ARG,Commodities,Transport and auxiliary services
ARG,Commodities,Postal and courier services
ARG,Commodities,Transmission and distribution services
ARG,Commodities,Gas distribution services through mains
ARG,Commodities,Water distribution pipes
ARG,Commodities,Financial intermediation
ARG,Commodities,Insurance and Pensions
ARG,Commodities,Reinsurance services
ARG,Commodities,Auxiliary services to financial intermediation
ARG,Commodities,Auxiliary services to insurance and pensions.
ARG,Commodities,Services related to real estate owned or leased
ARG,Commodities,Real estate services on a fee or contract basis
ARG,Commodities,Leasing with or without option to purchase machinery and equipment without operator
ARG,Commodities,Leasing with or without option to purchase other items
ARG,Commodities,Research and development services
ARG,Commodities,"Professional, scientific, and technical and excludes advertising services"
ARG,Commodities,Advertising
ARG,Commodities,Telecommunication services
ARG,Commodities,"Online access services, provision of access services online, news agency services, library services and archives"
ARG,Commodities,"Services agencies and personnel supply services, research services and safety cleaning services, packaging services, other support services"
ARG,Commodities,"Production services through commission agents and contractors basic manufactures, services installation (except construction)"
ARG,Commodities,"Services related to agriculture, hunting, forestry and fishing"
ARG,Commodities,"Mining-related services and services related to the supply of electricity, gas and water"
ARG,Commodities,Maintenance and repair services
ARG,Commodities,Administrative services of government and community services in general
ARG,Commodities,Administrative services for the regime of compulsory social security
ARG,Commodities,Education Services
ARG,Commodities,Human health services
ARG,Commodities,Veterinary services
ARG,Commodities,Social Services
ARG,Commodities,"Sewage, refuse disposal services"
ARG,Commodities,"Services furnished by business, employers and professional"
ARG,Commodities,Services furnished by trade unions
ARG,Commodities,Services provided by other associations
ARG,Commodities,"Recreational, cultural and sporting"
ARG,Commodities,"Laundry, cleaning and dyeing"
ARG,Commodities,Beauty treatment services and wellness services
ARG,Commodities,"Funeral, cremation and burial"
ARG,Commodities,Other miscellaneous services
ARG,Commodities,Domestic Services
ARG,Commodities,Reexport
ARM,Industries,Agriculture
ARM,Industries,Fishing
ARM,Industries,Mining and Quarrying
ARM,Industries,Food & Beverages
ARM,Industries,Textiles and Wearing Apparel
ARM,Industries,Wood and Paper
ARM,Industries,"Petroleum, Chemical and Non-Metallic Mineral Products"
ARM,Industries,Metal Products
ARM,Industries,Electrical and Machinery
ARM,Industries,Transport Equipment
ARM,Industries,Other Manufacturing
ARM,Industries,Recycling
ARM,Industries,"Electricity, Gas and Water"
ARM,Industries,Construction
ARM,Industries,Maintenance and Repair
ARM,Industries,Wholesale Trade
ARM,Industries,Retail Trade
ARM,Industries,Hotels and Restraurants
ARM,Industries,Transport
ARM,Industries,Post and Telecommunications
ARM,Industries,Finacial Intermediation and Business Activities
ARM,Industries,Public Administration
ARM,Industries,"Education, Health and Other Services"
ARM,Industries,Private Households
ARM,Industries,Others
ARM,Industries,Re-export & Re-import
ABW,Industries,Agriculture
ABW,Industries,Fishing
ABW,Industries,Mining and Quarrying
ABW,Industries,Food & Beverages
ABW,Industries,Textiles and Wearing Apparel
ABW,Industries,Wood and Paper
ABW,Industries,"Petroleum, Chemical and Non-Metallic Mineral Products"
ABW,Industries,Metal Products
ABW,Industries,Electrical and Machinery
ABW,Industries,Transport Equipment
ABW,Industries,Other Manufacturing
ABW,Industries,Recycling
ABW,Industries,"Electricity, Gas and Water"
ABW,Industries,Construction
ABW,Industries,Maintenance and Repair
ABW,Industries,Wholesale Trade
ABW,Industries,Retail Trade
ABW,Industries,Hotels and Restraurants
ABW,Industries,Transport
ABW,Industries,Post and Telecommunications
ABW,Industries,Finacial Intermediation and Business Activities
ABW,Industries,Public Administration
ABW,Industries,"Education, Health and Other Services"
ABW,Industries,Private Households
ABW,Industries,Others
ABW,Industries,Re-export & Re-import
AUS,Industries,Sheep and lambs
AUS,Industries,Shorn wool
AUS,Industries,"Oats, sorghum and other cereal grains"
AUS,Industries,Wheat
AUS,Industries,Barley
AUS,Industries,Rice
AUS,Industries,Oilseeds
AUS,Industries,Legumes
AUS,Industries,Beef cattle
AUS,Industries,Untreated milk
AUS,Industries,Dairy cattle
AUS,Industries,Pigs
AUS,Industries,Poultry
AUS,Industries,Eggs
AUS,Industries,Vegetables
AUS,Industries,Fruit
AUS,Industries,Plant nurseries
AUS,Industries,Flowers
AUS,Industries,Grapes for wine
AUS,Industries,Horses
AUS,Industries,Deer
AUS,Industries,Animal breeding
AUS,Industries,Sugar cane
AUS,Industries,Unginned cotton
AUS,Industries,Hops
AUS,Industries,Grass seed
AUS,Industries,Hay
AUS,Industries,Natural rubber
AUS,Industries,Skins and other agricultural services
AUS,Industries,Ginned cotton
AUS,Industries,Cotton seed
AUS,Industries,Sheep shearing
AUS,Industries,Aerial agriculture
AUS,Industries,Forest products
AUS,Industries,Forestry
AUS,Industries,Softwoods
AUS,Industries,Hardwoods
AUS,Industries,Services to fishing and squid jigging
AUS,Industries,Rock lobsters
AUS,Industries,Prawns
AUS,Industries,Raw fish
AUS,Industries,Shellfish
AUS,Industries,Aquaculture
AUS,Industries,Black coal
AUS,Industries,Brown coal
AUS,Industries,Crude oil
AUS,Industries,Natural gas
AUS,Industries,"LPG, LNG"
AUS,Industries,"Coal, oil and gas extraction"
AUS,Industries,Iron ores
AUS,Industries,Non-ferrous ores
AUS,Industries,Bauxite
AUS,Industries,Copper concentrates and ores
AUS,Industries,Gold
AUS,Industries,Ilmenite and Leucoxene
AUS,Industries,Rutile
AUS,Industries,Mineral sands
AUS,Industries,Nickel ores
AUS,Industries,Lead ores
AUS,Industries,Silver and zinc ores
AUS,Industries,Tin ores
AUS,Industries,Uranium ores
AUS,Industries,Manganese ores
AUS,Industries,"Gemstones, gypsum, silica"
AUS,Industries,Gravel
AUS,Industries,Sand
AUS,Industries,Dimension stone
AUS,Industries,Construction materials
AUS,Industries,Limestone
AUS,Industries,Clays
AUS,Industries,Salt
AUS,Industries,Phosphate rock
AUS,Industries,Services to mining
AUS,Industries,Meat products
AUS,Industries,Fresh meat
AUS,Industries,"Offal, hides, skins, blood meal"
AUS,Industries,"Poultry, slaughtered"
AUS,Industries,Dairy products
AUS,Industries,Treated milk
AUS,Industries,Cheese
AUS,Industries,Butter oil
AUS,Industries,Butter
AUS,Industries,Vegetable products
AUS,Industries,Fruit products
AUS,Industries,Oils and fats
AUS,Industries,Rice products
AUS,Industries,Plain flour
AUS,Industries,Fodder and feed
AUS,Industries,Flour mill products
AUS,Industries,Gluten
AUS,Industries,Breakfast foods
AUS,Industries,Self-raising flour
AUS,Industries,Cakes
AUS,Industries,Pasta
AUS,Industries,"Pies, cakes, biscuits"
AUS,Industries,Bread and bread rolls
AUS,Industries,Confectionery
AUS,Industries,Food products
AUS,Industries,Raw sugar
AUS,Industries,Refined sugar
AUS,Industries,Fish
AUS,Industries,Lobster
AUS,Industries,Processed seafoods
AUS,Industries,Animal food
AUS,Industries,Soft drinks
AUS,Industries,Beer and malt
AUS,Industries,Spirits
AUS,Industries,Wine
AUS,Industries,Tobacco
AUS,Industries,Wool scouring
AUS,Industries,Human-made fibres
AUS,Industries,Cotton fabrics
AUS,Industries,Wool fabrics
AUS,Industries,Textile finishing
AUS,Industries,Textile products
AUS,Industries,Textile and canvas bags
AUS,Industries,Knitting mill products
AUS,Industries,Clothing
AUS,Industries,Footwear
AUS,Industries,Leather products
AUS,Industries,Sawmill products
AUS,Industries,Undressed sawn timber
AUS,Industries,Softwood woodchips
AUS,Industries,Undressed resawn timber
AUS,Industries,Hardwood woodchips
AUS,Industries,"Pulp, paper and paperboard"
AUS,Industries,Manufactured wood
AUS,Industries,Joinery products
AUS,Industries,Paper containers
AUS,Industries,Paper products
AUS,Industries,Printing and stationery
AUS,Industries,Trade advertising
AUS,Industries,Recorded media and publishing
AUS,Industries,Newspaper advertising
AUS,Industries,Newspapers
AUS,Industries,Periodicals
AUS,Industries,"Books, maps, magazines"
AUS,Industries,Petroleum and coal products
AUS,Industries,Petrol and diesel
AUS,Industries,Kerosene
AUS,Industries,Gas oil or fuel oil
AUS,Industries,Bitumen
AUS,Industries,Refinery LPG
AUS,Industries,Basic chemicals
AUS,Industries,Gases
AUS,Industries,Paints
AUS,Industries,"Pesticides, insecticides and medicinal goods"
AUS,Industries,Pharmaceutical goods for human use
AUS,Industries,Soap and other detergents
AUS,Industries,Cosmetics and toiletry preparations
AUS,Industries,Chemical products
AUS,Industries,Explosives and matches
AUS,Industries,Munitions
AUS,Industries,Inks
AUS,Industries,Glue
AUS,Industries,Rubber products
AUS,Industries,Tyres
AUS,Industries,Retreading strips
AUS,Industries,Plastic products
AUS,Industries,Superphosphate
AUS,Industries,Mixed fertilisers
AUS,Industries,Chemical fertilisers
AUS,Industries,Glass products
AUS,Industries,Ceramic products
AUS,Industries,"Cement, lime "
AUS,Industries,Ready-mixed concrete
AUS,Industries,Concrete products
AUS,Industries,Plaster boards and plaster
AUS,Industries,Non-metallic mineral products
AUS,Industries,Worked monumental or building stone
AUS,Industries,Glass fibre and glass wool products
AUS,Industries,Ground minerals
AUS,Industries,Iron and steel semi-manufactures
AUS,Industries,Non-ferrous non-aluminium semi-manufactures
AUS,Industries,"Copper, silver, lead, zinc"
AUS,Industries,Alumina
AUS,Industries,Aluminium
AUS,Industries,Nickel
AUS,Industries,Precious metals
AUS,Industries,Aluminium semi-manufactures
AUS,Industries,Aluminium foil
AUS,Industries,Structural metal products
AUS,Industries,Fabricated construction steel
