Category,CountryA3,Sector
chemicals,ANT,Manufacture of chemical products 
agriculture,ANT,Agriculture and fishery products 
food processing,ANT,Beverages 
food processing,ANT,Food Products 
fuel,ANT,Manufacture of coke and refined petroleum products 
fuel,ANT,"Petroleum products,gas and other petroleum materials "
manufacturing,ANT,"Computer machinery,parts and accessories "
manufacturing,ANT,Manufacture of fabricated metal products 
manufacturing,ANT,Motor vehicles 
manufacturing,ANT,Other manufacturing products 
Primary Inputs_Compensation of employees D_1,ANT,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,ANT,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,ANT,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,ANT,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,ANT,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,ANT,Primary Inputs_Taxes on production D_29
primary non-agricultural products,ANT,Salt 
primary non-agricultural products,ANT,"Stone, sand "
public services,ANT,Public administration and defense 
research,ANT,Education services 
services,ANT,Activities auxiliary to financial intermediation 
services,ANT,Bank services 
services,ANT,Construction services 
services,ANT,Domestic services 
services,ANT,Electricity and gas distribution services 
services,ANT,Health services 
services,ANT,Horeca services 
services,ANT,Life insurance 
services,ANT,Maintenance and repair services of ships 
services,ANT,Non-life insurance 
services,ANT,Other business activities 
services,ANT,Other community and social services 
services,ANT,Other real estate activities 
services,ANT,Other services nes 
services,ANT,Postal and courier services 
services,ANT,Project devt and timeshare 
services,ANT,Renting of machineries and equipment 
services,ANT,Social insurance services 
transport,ANT,Air transport services 
transport,ANT,Other transport equipment 
transport,ANT,Reexport/Reimport
transport,ANT,Road transport services 
transport,ANT,Supporting and auxiliary transport services 
transport,ANT,Trade services 
transport,ANT,Water transport services 
water,ANT,Water distribution services 
wood processing,ANT,"Preparation &finishing of textiles, wood and paper "
agriculture,ARE,Agriculture
fishery,ARE,Fishing
food processing,ARE,Food & Beverages
fuel,ARE,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,ARE,Electrical and Machinery
manufacturing,ARE,Finacial Intermediation and Business Activities
manufacturing,ARE,Metal Products
manufacturing,ARE,Other Manufacturing
manufacturing,ARE,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,ARE,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,ARE,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,ARE,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,ARE,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,ARE,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,ARE,Primary Inputs_Taxes on production D_29
primary non-agricultural products,ARE,Mining and Quarrying
public services,ARE,Public Administration
research,ARE,"Education, Health and Other Services"
services,ARE,Construction
services,ARE,Hotels and Restraurants
services,ARE,Maintenance and Repair
services,ARE,Others
services,ARE,Post and Telecommunications
services,ARE,Private Households
services,ARE,Recycling
transport,ARE,Re-export & Re-import
transport,ARE,Retail Trade
transport,ARE,Transport
transport,ARE,Transport Equipment
transport,ARE,Wholesale Trade
water,ARE,"Electricity, Gas and Water"
wood processing,ARE,Wood and Paper
agriculture,ARG,Dairy Products
alcohol,ARG,Alcoholic beverages nec
alcohol,ARG,Beer and malt
alcohol,ARG,Wines
buildings,ARG,Building and construction services
buildings,ARG,Building or carving stone
cereals,ARG,Cereals
chemicals,ARG,"Basic organic chemicals, basic inorganic chemicals nec, chemical products nec"
chemicals,ARG,Chemical and fertilizer minerals
chemicals,ARG,Fertilizers and pesticides
cottn_pro,ARG,Natural textile fibers ready for spinning
fishery,ARG,"Fish live, fresh or chilled"
fishery,ARG,"Not frozen crustaceans, oysters, other invertebrates, live, fresh or chilled"
fishery,ARG,Other aquatic products
food processing,ARG,"Cocoa, chocolate and sugar confectionery"
food processing,ARG,Foodstuffs nec
food processing,ARG,Fruit and vegetable juices
food processing,ARG,"Fruits and nuts, prepared or preserved"
food processing,ARG,Plant crops and spices beverages
food processing,ARG,Preparations used for animal feed
food processing,ARG,Prepared or preserved fish
food processing,ARG,Residues from the food industry and snuff
food processing,ARG,Snuff products
food processing,ARG,"Soft drinks, bottled mineral water"
food processing,ARG,Vegetables prepared or preserved
forestry,ARG,Other forestry products (includes charcoal)
forestry,ARG,Raw wood
fuel,ARG,"Coal and lignite, peat"
fuel,ARG,"Coal gas, water gas, producer gas and other similar gases, other than petroleum gases and other gaseous hydrocarbons"
fuel,ARG,Crude oil and natural gas
fuel,ARG,"Electricity, but distribution service"
fuel,ARG,"Gasoline, gas oil, fuel oil and other fuels, other refined petroleum products and preparations nec"
fuel,ARG,"Petroleum gases and other gaseous hydrocarbons, except natural gas"
livestock,ARG,Live animals
livestock,ARG,Meat and meat products
livestock,ARG,Other animal products
manufacturing,ARG,Accumulators and primary batteries and parts thereof
manufacturing,ARG,Agricultural and forestry machinery and parts thereof
manufacturing,ARG,Aircraft and spacecraft and parts thereof
manufacturing,ARG,Arms and ammunition and parts thereof
manufacturing,ARG,"Articles for the packing of goods, of plastics"
manufacturing,ARG,"Articles of concrete, cement and plaster"
manufacturing,ARG,"Bearings, gears, gear and transmission components and parts thereof"
manufacturing,ARG,"Bodies (including cabs) for motor vehicles, trailers, parts and accessories"
manufacturing,ARG,"Books, brochures, leaflets (except advertising material) printed, printed maps, printed or handwritten sheet music"
manufacturing,ARG,Carving or building stone and related products
manufacturing,ARG,"Cement, lime and plaster"
manufacturing,ARG,"Clothing, except fur"
manufacturing,ARG,"Common precious metals and metals clad with precious metal, copper, nickel, aluminum, alumina, lead, zinc and tin, raw, semi-finished products or their alloys, other nonferrous metals and articles thereof"
manufacturing,ARG,"Dyeing and tanning extracts, tannins and their derivatives nec dyestuffs"
manufacturing,ARG,Electrical control devices and distribution of electricity and parts thereof
manufacturing,ARG,"Electronic valves and tubes, electronic components and parts and pieces"
manufacturing,ARG,Engines and turbines and parts thereof
manufacturing,ARG,Fabrics
manufacturing,ARG,Footwear
manufacturing,ARG,Furniture and car seats
manufacturing,ARG,"Furskins, tanned or dressed, and artificial skins, articles made with these skins (except headgear)"
manufacturing,ARG,Glass and glass products
manufacturing,ARG,"Hardened or pickled leather, synthetic or composition leather"
manufacturing,ARG,Household appliances and parts thereof
manufacturing,ARG,"Incandescent electric lamps or discharge, arc lamps, electric lighting equipment, and parts and pieces"
manufacturing,ARG,"Instruments and measuring devices, verification, testing, navigating and other purposes, except optical instruments, process control instruments and industrial parts and accessories"
manufacturing,ARG,"Insulated wire and cable, optical fiber cables"
manufacturing,ARG,Iron and steel joint
manufacturing,ARG,"Jewellery and related articles, musical instruments, sports goods, games and toys"
manufacturing,ARG,Lifting and handling equipment and parts thereof
manufacturing,ARG,Locomotives and rolling stock of railway and tramway and parts thereof
manufacturing,ARG,"Luggage, handbags and similar articles, articles of saddlery, leather goods"
manufacturing,ARG,Machine tools and parts and accessories
manufacturing,ARG,"Machinery for food, beverages and snuff and parts thereof"
manufacturing,ARG,Machinery for metallurgy and parts thereof
manufacturing,ARG,"Machinery for mining, quarrying and construction, and parts thereof"
manufacturing,ARG,"Machinery for the manufacture of textiles, clothing and leather goods and parts thereof"
manufacturing,ARG,Made textile fibers
manufacturing,ARG,Made-up textile articles
manufacturing,ARG,Magnetic tapes and disks for audio or audiovisual equipment_ Cards with magnetic strips or chips
manufacturing,ARG,Medical and surgical equipment and orthopedic appliances
manufacturing,ARG,"Motor vehicles, trailers and parts, parts and accessories"
manufacturing,ARG,"Motors, generators and transformers and their parts and pieces"
manufacturing,ARG,Non-structural ceramic ware
manufacturing,ARG,"Office machines, accounting and related parts and accessories"
manufacturing,ARG,"Optical instruments and photographic equipment and apparatus, and parts and accessories"
manufacturing,ARG,Other electrical equipment and parts thereof
manufacturing,ARG,Other fabricated metal products
manufacturing,ARG,Other general purpose machinery and parts thereof
manufacturing,ARG,Other manufactured nec
manufacturing,ARG,Other non-metallic mineral products nec
manufacturing,ARG,Other plastic products
manufacturing,ARG,Other rubber products
manufacturing,ARG,Other special purpose machinery and parts thereof
manufacturing,ARG,Ovens and burners to power homes and parts thereof
manufacturing,ARG,"Paints and varnishes and related products, colors for painting, ink"
manufacturing,ARG,"Parts for two-way radio broadcasting, radar for navigation devices or remote control by radio waves"
manufacturing,ARG,"Parts of footwear, insoles, heel cushions and similar articles, gaiters, leggings and similar articles and parts thereof"
manufacturing,ARG,Pharmaceuticals
manufacturing,ARG,Plastics in primary forms
manufacturing,ARG,"Postage stamps, checkbooks, bank notes, promotional materials, prints and other printed"
manufacturing,ARG,Prefabricated Buildings
manufacturing,ARG,"Pumps, compressors, engines, water power and pneumatic power engines and valves and parts thereof"
manufacturing,ARG,"Radio receivers and television receivers, apparatus for recording or reproduction of sound or television signals, microphones, speakers, amplifiers, etc_, Apparatus or radio-telephony receivers"
manufacturing,ARG,Refractory products and structural non-refractory clay
manufacturing,ARG,"Rolled, stretched or bent iron or steel"
manufacturing,ARG,Semi-manufactures of plastics
manufacturing,ARG,Ships_ Sports and recreation boats
manufacturing,ARG,"Soap, cleaning preparations, perfumes and toilet preparations"
manufacturing,ARG,"Steam generators, water (except hot water boilers for central heating) and parts thereof"
manufacturing,ARG,Structural metal products and parts
manufacturing,ARG,"Synthetic rubber, artificial mixtures and similar natural gums"
manufacturing,ARG,"Tanks, reservoirs and containers of iron, steel or aluminum"
manufacturing,ARG,Television transmission apparatus and apparatus for broadcasting and telephony and line telegraphy; their parts and accessories
manufacturing,ARG,"Textile staple fibers, processed for spinning"
manufacturing,ARG,"Tyres and inner tubes, rubber"
manufacturing,ARG,"Vaseline, wax and similar products, waste oil or oils obtained from bituminous minerals, nuclear fuel"
manufacturing,ARG,Watches and parts thereof
manufacturing,ARG,Yarns and threads for textile fibers
milling,ARG,Bakery Products
milling,ARG,"Macaroni, noodles, couscous and similar farinaceous products"
milling,ARG,"Milling products_ starches and starch products, sugars and sugar syrups nec"
oilcrops,ARG,Oil seeds and oleaginous fruits
oils,ARG,"Cotton linters, oilseed cake, flours of seeds or oleaginous fruits, vegetable waxes"
oils,ARG,Oils and animal fats and vegetable
others,ARG,Fruits and nuts
others,ARG,"Live plants, flowers and flower buds, seeds of flowers and fruits, vegetable seeds"
others,ARG,Raw vegetable materials nec
others,ARG,Vegetables and legumes
Primary Inputs_Compensation of employees D_1,ARG,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,ARG,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,ARG,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,ARG,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,ARG,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,ARG,Primary Inputs_Taxes on production D_29
primary non-agricultural products,ARG,"Arenas, songs, gravel, broken or crushed stone, natural bitumen and asphalt"
primary non-agricultural products,ARG,Clays
primary non-agricultural products,ARG,"Gypsum; anhydrite, limestone flux, limestone and other calcareous stone, of a kind used for the manufacture of lime or cement"
primary non-agricultural products,ARG,"Iron ores and concentrates, other than roasted iron pyrites"
primary non-agricultural products,ARG,Ores and concentrates of nonferrous metals (except ores and concentrates of uranium or thorium)
primary non-agricultural products,ARG,Ores and concentrates of uranium and thorium
primary non-agricultural products,ARG,"Precious and semiprecious stones, pumice stone, emery, natural abrasives, other minerals"
primary non-agricultural products,ARG,"Salt and pure sodium chloride, sea water"
public infrastructure,ARG,Passenger transport services
public services,ARG,Administrative services for the regime of compulsory social security
public services,ARG,Administrative services of government and community services in general
remaining,ARG,Natural gums
remaining,ARG,Snuff unprocessed
research,ARG,Education Services
research,ARG,"Professional, scientific, and technical and excludes advertising services"
research,ARG,Research and development services
services,ARG,Advertising
services,ARG,Auxiliary services to financial intermediation
services,ARG,Auxiliary services to insurance and pensions_
services,ARG,Beauty treatment services and wellness services
services,ARG,Domestic Services
services,ARG,Financial intermediation
services,ARG,"Food supply services, services of beverages for consumption on the premises"
services,ARG,"Funeral, cremation and burial"
services,ARG,Gas distribution services through mains
services,ARG,Hosting Services
services,ARG,Human health services
services,ARG,Insurance and Pensions
services,ARG,"Laundry, cleaning and dyeing"
services,ARG,Leasing with or without option to purchase machinery and equipment without operator
services,ARG,Leasing with or without option to purchase other items
services,ARG,Maintenance and repair services
services,ARG,"Mining-related services and services related to the supply of electricity, gas and water"
services,ARG,"Newspapers, magazines and periodicals"
services,ARG,Non-metal waste or scrap
services,ARG,Nonfinancial intangible assets
services,ARG,"Online access services, provision of access services online, news agency services, library services and archives"
services,ARG,Other miscellaneous services
services,ARG,Postal and courier services
services,ARG,"Production services through commission agents and contractors basic manufactures, services installation (except construction)"
services,ARG,Real estate services on a fee or contract basis
services,ARG,"Record books, account books, booklets, notes, letter pads and other stationery, paper or cardboard, types of printing plates or cylinders ready for printing or other printing components"
services,ARG,"Recreational, cultural and sporting"
services,ARG,Reinsurance services
services,ARG,"Services agencies and personnel supply services, research services and safety cleaning services, packaging services, other support services"
services,ARG,"Services furnished by business, employers and professional"
services,ARG,Services furnished by trade unions
services,ARG,Services provided by other associations
services,ARG,"Services related to agriculture, hunting, forestry and fishing"
services,ARG,Services related to real estate owned or leased
services,ARG,"Sewage, refuse disposal services"
services,ARG,Social Services
services,ARG,Telecommunication services
services,ARG,Transmission and distribution services
services,ARG,Used computers and parts and accessories
services,ARG,Veterinary services
services,ARG,Waste and scrap metal
sugar,ARG,Sugar
sugarcrops,ARG,Plants used for sugar manufacturing
transport,ARG,Freight services
transport,ARG,Other transport equipment and parts thereof
transport,ARG,Pipeline transport services
transport,ARG,Reexport
transport,ARG,Retail trade services
transport,ARG,Transport and auxiliary services
transport,ARG,Wholesale trade services
water,ARG,Water distribution pipes
wood processing,ARG,"Pulp, paper and paperboard"
wood processing,ARG,"Wood continuously shaped along any its edges or faces, wood wool, wood flour, wood chips or particles"
wood processing,ARG,Wood products
wood processing,ARG,Wood sawn or chipped lengthwise
agriculture,ARM,Agriculture
fishery,ARM,Fishing
food processing,ARM,Food & Beverages
fuel,ARM,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,ARM,Electrical and Machinery
manufacturing,ARM,Finacial Intermediation and Business Activities
manufacturing,ARM,Metal Products
manufacturing,ARM,Other Manufacturing
manufacturing,ARM,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,ARM,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,ARM,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,ARM,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,ARM,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,ARM,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,ARM,Primary Inputs_Taxes on production D_29
primary non-agricultural products,ARM,Mining and Quarrying
public services,ARM,Public Administration
research,ARM,"Education, Health and Other Services"
services,ARM,Construction
services,ARM,Hotels and Restraurants
services,ARM,Maintenance and Repair
services,ARM,Others
services,ARM,Post and Telecommunications
services,ARM,Private Households
services,ARM,Recycling
transport,ARM,Re-export & Re-import
transport,ARM,Retail Trade
transport,ARM,Transport
transport,ARM,Transport Equipment
transport,ARM,Wholesale Trade
water,ARM,"Electricity, Gas and Water"
wood processing,ARM,Wood and Paper
agriculture,ATG,Agriculture
fishery,ATG,Fishing
food processing,ATG,Food & Beverages
fuel,ATG,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,ATG,Electrical and Machinery
manufacturing,ATG,Finacial Intermediation and Business Activities
manufacturing,ATG,Metal Products
manufacturing,ATG,Other Manufacturing
manufacturing,ATG,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,ATG,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,ATG,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,ATG,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,ATG,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,ATG,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,ATG,Primary Inputs_Taxes on production D_29
primary non-agricultural products,ATG,Mining and Quarrying
public services,ATG,Public Administration
research,ATG,"Education, Health and Other Services"
services,ATG,Construction
services,ATG,Hotels and Restraurants
services,ATG,Maintenance and Repair
services,ATG,Others
services,ATG,Post and Telecommunications
services,ATG,Private Households
services,ATG,Recycling
transport,ATG,Re-export & Re-import
transport,ATG,Retail Trade
transport,ATG,Transport
transport,ATG,Transport Equipment
transport,ATG,Wholesale Trade
water,ATG,"Electricity, Gas and Water"
wood processing,ATG,Wood and Paper
agriculture,AUS,Dairy products
alcohol,AUS,Beer and malt
alcohol,AUS,Spirits
alcohol,AUS,Wine
buildings,AUS,Non-residential building construction
buildings,AUS,Non-residential building repair and maintenance
buildings,AUS,Ownership of dwellings
buildings,AUS,Residential building construction
buildings,AUS,Residential building repair and maintenance
cereals,AUS,Barley
cereals,AUS,"Oats, sorghum and other cereal grains"
cereals,AUS,Wheat
chemicals,AUS,Basic chemicals
chemicals,AUS,Chemical products
chemicals,AUS,Superphosphate
cottn_pro,AUS,Cotton seed
cottn_pro,AUS,Unginned cotton
crops,AUS,Plant nurseries
fertilizers,AUS,Chemical fertilisers
fertilizers,AUS,Mixed fertilisers
fishery,AUS,Aquaculture
fishery,AUS,Fish
fishery,AUS,Lobster 
fishery,AUS,Prawns
fishery,AUS,Raw fish
fishery,AUS,Rock lobsters
fishery,AUS,Shellfish
foddr,AUS,Fodder and feed
foddr,AUS,Grass seed
foddr,AUS,Hay
food processing,AUS,Animal food
food processing,AUS,Breakfast foods
food processing,AUS,Butter
food processing,AUS,Cheese
food processing,AUS,Confectionery
food processing,AUS,Cotton fabrics
food processing,AUS,Food products
food processing,AUS,Fresh meat
food processing,AUS,Fruit products
food processing,AUS,Ginned cotton
food processing,AUS,Gluten
food processing,AUS,Meat products
food processing,AUS,Processed seafoods
food processing,AUS,Raw sugar
food processing,AUS,Soft drinks
food processing,AUS,Treated milk
food processing,AUS,Vegetable products
forestry,AUS,Forest products
forestry,AUS,Forestry
forestry,AUS,Hardwood woodchips
forestry,AUS,Hardwoods
forestry,AUS,Softwood woodchips
forestry,AUS,Softwoods
fuel,AUS,Black coal
fuel,AUS,Brown coal
fuel,AUS,"Coal, oil and gas extraction"
fuel,AUS,Crude oil
fuel,AUS,Gas oil or fuel oil
fuel,AUS,Gases
fuel,AUS,Kerosene
fuel,AUS,"LPG, LNG"
fuel,AUS,Natural gas
fuel,AUS,Petrol and diesel
fuel,AUS,Petroleum and coal products
fuel,AUS,Refinery LPG
livestock,AUS,Animal breeding
livestock,AUS,Horses
livestock,AUS,"Offal, hides, skins, blood meal"
livst_chick,AUS,Poultry
livst_chick,AUS,"Poultry, slaughtered"
livst_egg,AUS,Eggs
livst_milk,AUS,Dairy cattle
livst_milk,AUS,Untreated milk
livst_pig,AUS,Pigs
livst_rum,AUS,Beef cattle
livst_rum,AUS,Deer
livst_rum,AUS,Sheep and lambs
livst_rum,AUS,Sheep shearing
manufacturing,AUS,Aerial agriculture
manufacturing,AUS,Agricultural machinery and parts
manufacturing,AUS,Agricultural tractors
manufacturing,AUS,Aircraft
manufacturing,AUS,Aircraft repairing
manufacturing,AUS,Aluminium doors
manufacturing,AUS,Aluminium foil
manufacturing,AUS,Aluminium semi-manufactures
manufacturing,AUS,Architectural aluminium
manufacturing,AUS,Bauxite
manufacturing,AUS,Bitumen
manufacturing,AUS,"Books, maps, magazines"
manufacturing,AUS,"Cement, lime "
manufacturing,AUS,Ceramic products
manufacturing,AUS,Clothes washing machines
manufacturing,AUS,Clothing
manufacturing,AUS,Commercial refrigerators
manufacturing,AUS,Computer and technical services
manufacturing,AUS,Concrete products
manufacturing,AUS,Construction machinery
manufacturing,AUS,Construction materials
manufacturing,AUS,Cosmetics and toiletry preparations
manufacturing,AUS,Domestic refrigerators
manufacturing,AUS,Electrical equipment
manufacturing,AUS,Electronic equipment
manufacturing,AUS,Elevators and escalators
manufacturing,AUS,Explosives and matches
manufacturing,AUS,Fabricated construction steel
manufacturing,AUS,Fabricated metal products
manufacturing,AUS,Fabricated metal products repairing
manufacturing,AUS,Finished cars
manufacturing,AUS,Firearms
manufacturing,AUS,Footwear
manufacturing,AUS,Furniture
manufacturing,AUS,Gaming and vending machines
manufacturing,AUS,Glass fibre and glass wool products
manufacturing,AUS,Glass products
manufacturing,AUS,Glue
manufacturing,AUS,"Harvesting, haymaking and silage making equipment"
manufacturing,AUS,"Hoists, cranes, lifting and loading machinery"
manufacturing,AUS,Household appliances
