generic;generic_unit;ts10;ts10_unit
Emi|CO|Solvents;Mt CO/yr;Emissions|CO|Solvents;Mt CO/yr
Emi|CO|Waste;Mt CO/yr;Emissions|CO|Waste;Mt CO/yr
Emi|CO2;Mt CO2/yr;Emissions|CO2;Mt CO2/yr
Emi|CO2|Carbon Capture and Storage;Mt CO2/yr;Emissions|CO2|Carbon Capture and Storage;Mt CO2/yr
Emi|CO2|Carbon Capture and Storage|Biomass;Mt CO2/yr;Emissions|CO2|Carbon Capture and Storage|Biomass;Mt CO2/yr
Emi|CO2|Electricity Production;Mt CO2/yr;Emissions|CO2|FosFuInd|Energy Supply|Electricity;Mt CO2/yr
Emi|CO2|Fossil Fuels and Industry;Mt CO2/yr;Emissions|CO2|FosFuInd;Mt CO2/yr
Emi|CO2|Fossil Fuels and Industry|Demand;Mt CO2/yr;Emissions|CO2|FosFuInd|Energy Demand;Mt CO2/yr
Emi|CO2|Fossil Fuels and Industry|Energy Supply;Mt CO2/yr;Emissions|CO2|FosFuInd|Energy Supply;Mt CO2/yr
Emi|CO2|Land-Use Change;Mt CO2/yr;Emissions|CO2|Land Use;Mt CO2/yr
Emi|CO2|Other Sector|Demand;Mt CO2/yr;Emissions|CO2|FosFuInd|Energy Demand|Other Sector;Mt CO2/yr
Emi|CO2|Transportation|Demand;Mt CO2/yr;Emissions|CO2|FosFuInd|Energy Demand|Transportation;Mt CO2/yr
Emi|F-Gases;Mt CO2eq/yr;Emissions|F-Gases;Mt CO2-equiv/yr
Emi|GHG|International Trading System;Mt CO2eq/yr;Emissions|GHG|International Trading System;Mt CO2-equiv/yr
Emi|HFC;kt HFC134a-equiv/yr;Emissions|HFC;kt HFC134a-equiv/yr
Emi|HFC|HFC125;kt HFC125/yr;Emissions|HFC|HFC125;kt HFC125/yr
Emi|HFC|HFC134a;kt HFC134a/yr;Emissions|HFC|HFC134a;kt HFC134a/yr
Emi|HFC|HFC143a;kt HFC143a/yr;Emissions|HFC|HFC143a;kt HFC143a/yr
Emi|HFC|HFC227ea;kt HFC227ea/yr;Emissions|HFC|HFC227ea;kt HFC227ea/yr
Emi|HFC|HFC23;kt HFC23/yr;Emissions|HFC|HFC23;kt HFC23/yr
Emi|HFC|HFC245fa;kt HFC245fa/yr;Emissions|HFC|HFC245fa;kt HFC245fa/yr
Emi|HFC|HFC32;kt HFC32/yr;Emissions|HFC|HFC32;kt HFC32/yr
Emi|HFC|HFC43-10;kt HFC43-10/yr;Emissions|HFC|HFC43-10;kt HFC43-10/yr
Emi|Kyoto Gases;Mt CO2eq/yr;Emissions|Kyoto Gases;Mt CO2-equiv/yr
Emi|N2O;kt N2O/yr;Emissions|N2O;kt N2O/yr
Emi|N2O|Land Use;kt N2O/yr;Emissions|N2O|Land Use;kt N2O/yr
Emi|NH3;Mt NH3/yr;Emissions|NH3;Mt NH3/yr
Emi|NH3|Energy Demand|Industry;Mt NH3/yr;Emissions|NH3|Energy Demand|Industry;Mt NH3/yr
Emi|NH3|Energy Demand|ResCom;Mt NH3/yr;Emissions|NH3|Energy Demand|Residential and Commercial;Mt NH3/yr
Emi|NH3|Energy Demand|Transportation;Mt NH3/yr;Emissions|NH3|Energy Demand|Transportation;Mt NH3/yr
Emi|NH3|Energy Demand|Transportation|Aviation;Mt NH3/yr;Emissions|NH3|Energy Demand|Trans|Avi;Mt NH3/yr
Emi|NH3|Energy Demand|Transportation|Ground Trans;Mt NH3/yr;Emissions|NH3|Energy Demand|Trans|Ground;Mt NH3/yr
Emi|NH3|Energy Demand|Transportation|Intl Shipping;Mt NH3/yr;Emissions|NH3|Energy Demand|Trans|IntShip;Mt NH3/yr
Emi|NH3|Energy Supply;Mt NH3/yr;Emissions|NH3|Energy Supply;Mt NH3/yr
Emi|NH3|Energy Supply and Demand;Mt NH3/yr;Emissions|NH3|Energy Supply and Demand;Mt NH3/yr
Emi|NH3|Land Use;Mt NH3/yr;Emissions|NH3|Land Use;Mt NH3/yr
Emi|NH3|Land Use|Agricultural Waste Burning;Mt NH3/yr;Emissions|NH3|Land Use|Agricultural Waste Burning;Mt NH3/yr
Emi|NH3|Land Use|Agriculture;Mt NH3/yr;Emissions|NH3|Land Use|Agriculture;Mt NH3/yr
Emi|NH3|Land Use|Forest Burning;Mt NH3/yr;Emissions|NH3|Land Use|Forest Burning;Mt NH3/yr
Emi|NH3|Land Use|Savannah Burning;Mt NH3/yr;Emissions|NH3|Land Use|Savannah Burning;Mt NH3/yr
Emi|NH3|Solvents;Mt NH3/yr;Emissions|NH3|Solvents;Mt NH3/yr
Emi|NH3|Waste;Mt NH3/yr;Emissions|NH3|Waste;Mt NH3/yr
Emi|NOx;Mt NOx/yr;Emissions|NOx;Mt NOx/yr
Emi|NOx|Energy Demand|Industry;Mt NOx/yr;Emissions|NOx|Energy Demand|Industry;Mt NOx/yr
Emi|NOx|Energy Demand|ResCom;Mt NOx/yr;Emissions|NOx|Energy Demand|Residential and Commercial;Mt NOx/yr
Emi|NOx|Energy Demand|Transportation;Mt NOx/yr;Emissions|NOx|Energy Demand|Transportation;Mt NOx/yr
Emi|NOx|Energy Demand|Transportation|Aviation;Mt NOx/yr;Emissions|NOx|Energy Demand|Trans|Avi;Mt NOx/yr
Emi|NOx|Energy Demand|Transportation|Ground Trans;Mt NOx/yr;Emissions|NOx|Energy Demand|Trans|Ground;Mt NOx/yr
Emi|NOx|Energy Demand|Transportation|Intl Shipping;Mt NOx/yr;Emissions|NOx|Energy Demand|Trans|IntShip;Mt NOx/yr
Emi|NOx|Energy Supply;Mt NOx/yr;Emissions|NOx|Energy Supply;Mt NOx/yr
Emi|NOx|Energy Supply and Demand;Mt NOx/yr;Emissions|NOx|Energy Supply and Demand;Mt NOx/yr
Emi|NOx|Land Use;Mt NOx/yr;Emissions|NOx|Land Use;Mt NOx/yr
Emi|NOx|Land Use|Agricultural Waste Burning;Mt NOx/yr;Emissions|NOx|Land Use|Agricultural Waste Burning;Mt NOx/yr
Emi|NOx|Land Use|Agriculture;Mt NOx/yr;Emissions|NOx|Land Use|Agriculture;Mt NOx/yr
Emi|NOx|Land Use|Forest Burning;Mt NOx/yr;Emissions|NOx|Land Use|Forest Burning;Mt NOx/yr
Emi|NOx|Land Use|Savannah Burning;Mt NOx/yr;Emissions|NOx|Land Use|Savannah Burning;Mt NOx/yr
Emi|NOx|Solvents;Mt NOx/yr;Emissions|NOx|Solvents;Mt NOx/yr
Emi|NOx|Waste;Mt NOx/yr;Emissions|NOx|Waste;Mt NOx/yr
Emi|OC;Mt OC/yr;Emissions|OC;Mt OC/yr
Emi|OC|Energy Demand|Industry;Mt OC/yr;Emissions|OC|Energy Demand|Industry;Mt OC/yr
Emi|OC|Energy Demand|ResCom;Mt OC/yr;Emissions|OC|Energy Demand|Residential and Commercial;Mt OC/yr
Emi|OC|Energy Demand|Transportation;Mt OC/yr;Emissions|OC|Energy Demand|Transportation;Mt OC/yr
Emi|OC|Energy Demand|Transportation|Aviation;Mt OC/yr;Emissions|OC|Energy Demand|Trans|Avi;Mt OC/yr
Emi|OC|Energy Demand|Transportation|Ground Trans;Mt OC/yr;Emissions|OC|Energy Demand|Trans|Ground;Mt OC/yr
Emi|OC|Energy Demand|Transportation|Intl Shipping;Mt OC/yr;Emissions|OC|Energy Demand|Trans|IntShip;Mt OC/yr
Emi|OC|Energy Supply;Mt OC/yr;Emissions|OC|Energy Supply;Mt OC/yr
Emi|OC|Energy Supply and Demand;Mt OC/yr;Emissions|OC|Energy Supply and Demand;Mt OC/yr
Emi|OC|Land Use;Mt OC/yr;Emissions|OC|Land Use;Mt OC/yr
Emi|OC|Land Use|Agricultural Waste Burning;Mt OC/yr;Emissions|OC|Land Use|Agricultural Waste Burning;Mt OC/yr
Emi|OC|Land Use|Agriculture;Mt OC/yr;Emissions|OC|Land Use|Agriculture;Mt OC/yr
Emi|OC|Land Use|Forest Burning;Mt OC/yr;Emissions|OC|Land Use|Forest Burning;Mt OC/yr
Emi|OC|Land Use|Savannah Burning;Mt OC/yr;Emissions|OC|Land Use|Savannah Burning;Mt OC/yr
Emi|OC|Solvents;Mt OC/yr;Emissions|OC|Solvents;Mt OC/yr
Emi|OC|Waste;Mt OC/yr;Emissions|OC|Waste;Mt OC/yr
Emi|PFC;kt CF4-equiv/yr;Emissions|PFC;kt CF4-equiv/yr
Emi|SF6;kt SF6/yr;Emissions|SF6;kt SF6/yr
Emi|SO2;Mt SO2/yr;Emissions|Sulfur;Mt SO2/yr
Emi|SO2|Energy Demand|Industry;Mt SO2/yr;Emissions|Sulfur|Energy Demand|Industry;Mt SO2/yr
Emi|SO2|Energy Demand|ResCom;Mt SO2/yr;Emissions|Sulfur|Energy Demand|Residential and Commercial;Mt SO2/yr
Emi|SO2|Energy Demand|Transportation;Mt SO2/yr;Emissions|Sulfur|Energy Demand|Transportation;Mt SO2/yr
Emi|SO2|Energy Demand|Transportation|Aviation;Mt SO2/yr;Emissions|Sulfur|Energy Demand|Trans|Avi;Mt SO2/yr
Emi|SO2|Energy Demand|Transportation|Ground Trans;Mt SO2/yr;Emissions|Sulfur|Energy Demand|Trans|Ground;Mt SO2/yr
Emi|SO2|Energy Demand|Transportation|Intl Shipping;Mt SO2/yr;Emissions|Sulfur|Energy Demand|Trans|IntShip;Mt SO2/yr
Emi|SO2|Energy Supply;Mt SO2/yr;Emissions|Sulfur|Energy Supply;Mt SO2/yr
Emi|SO2|Energy Supply and Demand;Mt SO2/yr;Emissions|Sulfur|Energy Supply and Demand;Mt SO2/yr
Emi|SO2|Land Use;Mt SO2/yr;Emissions|Sulfur|Land Use;Mt SO2/yr
Emi|SO2|Land Use|Agricultural Waste Burning;Mt SO2/yr;Emissions|Sulfur|Land Use|Ag Waste Burning;Mt SO2/yr
Emi|SO2|Land Use|Agriculture;Mt SO2/yr;Emissions|Sulfur|Land Use|Agriculture;Mt SO2/yr
Emi|SO2|Land Use|Forest Burning;Mt SO2/yr;Emissions|Sulfur|Land Use|Forest Burning;Mt SO2/yr
Emi|SO2|Land Use|Savannah Burning;Mt SO2/yr;Emissions|Sulfur|Land Use|Savannah Burning;Mt SO2/yr
Emi|SO2|Solvents;Mt SO2/yr;Emissions|Sulfur|Solvents;Mt SO2/yr
Emi|SO2|Waste;Mt SO2/yr;Emissions|Sulfur|Waste;Mt SO2/yr
Emi|VOC;Mt VOC/yr;Emissions|VOC;Mt VOC/yr
Emi|VOC|Energy Demand|Industry;Mt VOC/yr;Emissions|VOC|Energy Demand|Industry;Mt VOC/yr
Emi|VOC|Energy Demand|ResCom;Mt VOC/yr;Emissions|VOC|Energy Demand|Residential and Commercial;Mt VOC/yr
Emi|VOC|Energy Demand|Transportation;Mt VOC/yr;Emissions|VOC|Energy Demand|Transportation;Mt VOC/yr
Emi|VOC|Energy Demand|Transportation|Aviation;Mt VOC/yr;Emissions|VOC|Energy Demand|Trans|Avi;Mt VOC/yr
Emi|VOC|Energy Demand|Transportation|Ground Trans;Mt VOC/yr;Emissions|VOC|Energy Demand|Trans|Ground;Mt VOC/yr
Emi|VOC|Energy Demand|Transportation|Intl Shipping;Mt VOC/yr;Emissions|VOC|Energy Demand|Trans|IntShip;Mt VOC/yr
Emi|VOC|Energy Supply;Mt VOC/yr;Emissions|VOC|Energy Supply;Mt VOC/yr
Emi|VOC|Energy Supply and Demand;Mt VOC/yr;Emissions|VOC|Energy Supply and Demand;Mt VOC/yr
Emi|VOC|Land Use;Mt VOC/yr;Emissions|VOC|Land Use;Mt VOC/yr
Emi|VOC|Land Use|Agricultural Waste Burning;Mt VOC/yr;Emissions|VOC|Land Use|Agricultural Waste Burning;Mt VOC/yr
Emi|VOC|Land Use|Agriculture;Mt VOC/yr;Emissions|VOC|Land Use|Agriculture;Mt VOC/yr
