"Nr","version","scenario","foodgroup","parent","functional_form_income","functional_form_z","functional_merging_add","z","gdp_scen","pop_scen","z_scen","calibration_type","calibration_start","calibration_end","para_1","para_2","para_3","para_4","para_5","para_6","R2","R2adj","start_1","start_2","start_3","start_4","start_5","start_6"
"32","new","SSP1","monogastrics","landanimals","y~a/x + b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","new","SSP1","monogastrics","landanimals","y~a * x^b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","new","SSP1","monogastrics","landanimals","y~a + x^b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","new","SSP1","monogastrics","landanimals","y~a + b*x^c",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","new","SSP1","livst_chick","monogastrics","y~(a * x)/(b + x)",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","new","SSP1","livst_chick","monogastrics","y~a/x + b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","new","SSP1","livst_chick","monogastrics","y~a * x^b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","new","SSP1","livst_chick","monogastrics","y~a + x^b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","new","SSP1","livst_chick","monogastrics","y~a + b*x^c",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","new","SSP1","livst_egg","monogastrics","y~(a * x)/(b + x)",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","new","SSP1","livst_egg","monogastrics","y~a/x + b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","new","SSP1","livst_egg","monogastrics","y~a * x^b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","new","SSP1","livst_egg","monogastrics","y~a + x^b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","new","SSP1","livst_egg","monogastrics","y~a + b*x^c",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","new","SSP1","livst_pig","monogastrics","y~(a * x)/(b + x)",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","new","SSP1","livst_pig","monogastrics","y~a/x + b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","new","SSP1","livst_pig","monogastrics","y~a * x^b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","new","SSP1","livst_pig","monogastrics","y~a + x^b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","new","SSP1","livst_pig","monogastrics","y~a + b*x^c",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","new","SSP1","plants","totalintake","y~(a * x)/(b + x)",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","new","SSP1","plants","totalintake","y~a/x + b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","new","SSP1","plants","totalintake","y~a * x^b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","new","SSP1","plants","totalintake","y~a + x^b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","new","SSP1","plants","totalintake","y~a + b*x^c",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","new","SSP1","processed","plants","y~(a * x)/(b + x)",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","new","SSP1","processed","plants","y~a/x + b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","new","SSP1","processed","plants","y~a * x^b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","new","SSP1","processed","plants","y~a + x^b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","new","SSP1","processed","plants","y~a + b*x^c",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","new","SSP1","oils","processed","y~(a * x)/(b + x)",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","new","SSP1","oils","processed","y~a/x + b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","new","SSP1","oils","processed","y~a * x^b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","new","SSP1","oils","processed","y~a + x^b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","new","SSP1","oils","processed","y~a + b*x^c",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","new","SSP1","alcoholSugar","processed","y~(a * x)/(b + x)",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","new","SSP1","alcoholSugar","processed","y~a/x + b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","new","SSP1","alcoholSugar","processed","y~a * x^b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","new","SSP1","alcoholSugar","processed","y~a + x^b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","new","SSP1","alcoholSugar","processed","y~a + b*x^c",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","new","SSP1","alcohol","alcoholSugar","y~(a * x)/(b + x)",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","new","SSP1","alcohol","alcoholSugar","y~a/x + b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","new","SSP1","alcohol","alcoholSugar","y~a * x^b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","new","SSP1","alcohol","alcoholSugar","y~a + x^b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","new","SSP1","alcohol","alcoholSugar","y~a + b*x^c",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","new","SSP1","totalSugar","alcoholSugar","y~(a * x)/(b + x)",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","new","SSP1","totalSugar","alcoholSugar","y~a/x + b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","new","SSP1","totalSugar","alcoholSugar","y~a * x^b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","new","SSP1","totalSugar","alcoholSugar","y~a + x^b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","new","SSP1","totalSugar","alcoholSugar","y~a + b*x^c",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","new","SSP1","molasses","totalSugar","y~(a * x)/(b + x)",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","new","SSP1","molasses","totalSugar","y~a/x + b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","new","SSP1","molasses","totalSugar","y~a * x^b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","new","SSP1","molasses","totalSugar","y~a + x^b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","new","SSP1","molasses","totalSugar","y~a + b*x^c",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","new","SSP1","sugar","totalSugar","y~(a * x)/(b + x)",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","new","SSP1","sugar","totalSugar","y~a/x + b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","new","SSP1","sugar","totalSugar","y~a * x^b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","new","SSP1","sugar","totalSugar","y~a + x^b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","new","SSP1","sugar","totalSugar","y~a + b*x^c",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","new","SSP1","sugr_beet","totalSugar","y~(a * x)/(b + x)",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","new","SSP1","sugr_beet","totalSugar","y~a/x + b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","new","SSP1","sugr_beet","totalSugar","y~a * x^b",NA,"1",NA,"SSP1","SSP1","SSP1","convergent","2010","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
