r20m41;engage;weight;factor
Resources|Water|Withdrawal|Agriculture (km3/yr);Water Withdrawal|Irrigation (km3/yr);NULL;1
Emi|CO2|Carbon Capture and Storage (Mt CO2/yr);Carbon Sequestration|CCS (Mt CO2/yr);NULL;1
Emi|CO2|Carbon Capture and Storage|Biomass (Mt CO2/yr);Carbon Sequestration|CCS|Biomass (Mt CO2/yr);NULL;1
Emi|CO2|Carbon Capture and Storage|Biomass|Supply|Electricity|w/ couple prod (Mt CO2/yr);Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity (Mt CO2/yr);NULL;1
Emi|CO2|Carbon Capture and Storage|Biomass|Supply|Liquids|w/ couple prod (Mt CO2/yr);Carbon Sequestration|CCS|Biomass|Energy|Supply|Liquids (Mt CO2/yr);NULL;1
Emi|CO2|Carbon Capture and Storage|Biomass|Supply|Hydrogen|w/ couple prod (Mt CO2/yr);Carbon Sequestration|CCS|Biomass|Energy|Supply|Hydrogen (Mt CO2/yr);NULL;1
Emi|CO2|Carbon Capture and Storage|Biomass|Energy|Demand|Industry (Mt CO2/yr);Carbon Sequestration|CCS|Biomass|Energy|Demand|Industry (Mt CO2/yr);NULL;1
Emi|CO2|Carbon Capture and Storage|IndustryCCS (Mt CO2/yr);Carbon Sequestration|CCS|Industrial Processes (Mt CO2/yr);NULL;1
Emi|CO2|CDR (Mt CO2/yr);Carbon Sequestration|Other (Mt CO2/yr);NULL;1
Concentration|CH4 (ppb);Concentration|CH4 (ppb);NULL;1
Concentration|N2O (ppb);Concentration|N2O (ppb);NULL;1
Concentration|CO2 (ppm);Concentration|CO2 (ppm);NULL;1
Consumption (billion US$2005/yr);Consumption (billion US$2010/yr);NULL;1
Emi|CH4 (Mt CH4/yr);Emissions|CH4 (Mt CH4/yr);NULL;1
Emi|CH4|Energy Supply and Demand (Mt CH4/yr);Emissions|CH4|Energy (Mt CH4/yr);NULL;1
Emi|CH4|Energy Supply (Mt CH4/yr);Emissions|CH4|Energy|Supply (Mt CH4/yr);NULL;1
Emi|CH4|Other (Mt CH4/yr);Emissions|CH4|Other (Mt CH4/yr);NULL;1
Emi|CO2 (Mt CO2/yr);Emissions|CO2 (Mt CO2/yr);NULL;1
Emi|CO2|Fossil Fuels and Industry|Demand|After IndustryCCS (Mt CO2/yr);Emissions|CO2|Energy|Demand (Mt CO2/yr);NULL;1
Emi|CO2|Fossil Fuels and Industry|Indirect (Mt CO2/yr);Emissions|CO2|Energy|Supply (Mt CO2/yr);NULL;1
Emi|CO2|Energy|Supply|Electricity (Mt CO2/yr);Emissions|CO2|Energy|Supply|Electricity (Mt CO2/yr);NULL;1
Emi|CO2|Energy|Supply|Heat|w/ couple prod (Mt CO2/yr);Emissions|CO2|Energy|Supply|Heat (Mt CO2/yr);NULL;1
Emi|CO2|Energy|Supply|Hydrogen|w/ couple prod (Mt CO2/yr);Emissions|CO2|Energy|Supply|Hydrogen (Mt CO2/yr);NULL;1
Emi|CO2|Fossil Fuels and Industry|Cement process (Mt CO2/yr);Emissions|CO2|Industrial Processes (Mt CO2/yr);NULL;1
Emi|CO2|Transport|Demand (Mt CO2/yr);Emissions|CO2|Energy|Demand|Transportation (Mt CO2/yr);NULL;1
Emi|CO2|Buildings|Direct (Mt CO2/yr);Emissions|CO2|Energy|Demand|Residential and Commercial (Mt CO2/yr);NULL;1
Emi|CO2|Industry|Direct (Mt CO2/yr);Emissions|CO2|Energy|Demand|Industry (Mt CO2/yr);NULL;1
Emi|CO2|Fossil Fuels and Industry (Mt CO2/yr);Emissions|CO2|Energy and Industrial Processes (Mt CO2/yr);NULL;1
Emi|HFC (kt HFC134a-equiv/yr);Emissions|HFC (kt HFC134a-equiv/yr);NULL;1
Emi|F-Gases (Mt CO2-equiv/yr);Emissions|F-Gases (Mt CO2-equiv/yr);NULL;1
Emi|Kyoto Gases (Mt CO2-equiv/yr);Emissions|Kyoto Gases (Mt CO2-equiv/yr);NULL;1
Emi|N2O (kt N2O/yr);Emissions|N2O (kt N2O/yr);NULL;1
Emi|N2O|Energy Supply and Demand (kt N2O/yr);Emissions|N2O|Energy (kt N2O/yr);NULL;1
Emi|NOX (Mt NOX/yr);Emissions|NOx (Mt NOx/yr);NULL;1
Emi|OC (Mt OC/yr);Emissions|OC (Mt OC/yr);NULL;1
