REMIND_variable;AGEB_variable;Weight;Unit_REMIND;Unit_AGEB;Factor;Comment
;4_2 Einsatz von Energietraegern zur Fernwaermeerzeugung|Strom;;;;;
;4_2 Einsatz von Energietraegern zur Fernwaermeerzeugung|Kernenergie;;;;;
;4_2 Einsatz von Energietraegern zur Fernwaermeerzeugung|Insgesamt;;;;;
FE|Solids|Fossil|Coal;6_1 Endenergieverbrauch nach Energieträgern|Steinkohle;1;EJ/yr;PJ;0.001;
FE|Solids|Fossil|Coal;6_1 Endenergieverbrauch nach Energietraegern|Braunkohle;1;EJ/yr;PJ;0.001;
FE|Liquids|Fossil|Oil;6_1 Endenergieverbrauch nach Energietraegern|Mineralöle;1;EJ/yr;PJ;0.001;
FE|Gases|Fossil;6_1 Endenergieverbrauch nach Energietraegern|Gase;1;EJ/yr;PJ;0.001;
;6_1 Endenergieverbrauch nach Energietraegern|Erdgas, Erdölgas;;;;;
;6_1 Endenergieverbrauch nach Energietraegern|Erneuerbare Energien;;;;;
;6_1 Endenergieverbrauch nach Energietraegern|Sonstige Energieträger;;;;;
FE|Electricity;6_1 Endenergieverbrauch nach Energietraegern|Strom;1;EJ/yr;PJ;0.001;
FE|Heat;6_1 Endenergieverbrauch nach Energietraegern|Fernwärme;1;EJ/yr;PJ;0.001;
FE;6_1 Endenergieverbrauch nach Energietraegern|Insgesamt;1;EJ/yr;PJ;0.001;
;6_2 Endenergieverbrauch Bergbau, Gewinnung von Steinen und Erden und Verarbeitendes Gewerbe nach Energietraegern|Steinkohle;;;;;
;6_2 Endenergieverbrauch Bergbau, Gewinnung von Steinen und Erden und Verarbeitendes Gewerbe nach Energietraegern|Braunkohle;;;;;
;6_2 Endenergieverbrauch Bergbau, Gewinnung von Steinen und Erden und Verarbeitendes Gewerbe nach Energietraegern|Mineralöle;;;;;
FE|w/o Non-energy Use|Industry|Gases;6_2 Endenergieverbrauch Bergbau, Gewinnung von Steinen und Erden und Verarbeitendes Gewerbe nach Energietraegern|Gase;1;EJ/yr;PJ;0.001;
;6_2 Endenergieverbrauch Bergbau, Gewinnung von Steinen und Erden und Verarbeitendes Gewerbe nach Energietraegern|Erdgas, Erdölgas;;;;;
;6_2 Endenergieverbrauch Bergbau, Gewinnung von Steinen und Erden und Verarbeitendes Gewerbe nach Energietraegern|Erneuerbare Energien;;;;;
;6_2 Endenergieverbrauch Bergbau, Gewinnung von Steinen und Erden und Verarbeitendes Gewerbe nach Energietraegern|Sonstige Energieträger;;;;;
;6_2 Endenergieverbrauch Bergbau, Gewinnung von Steinen und Erden und Verarbeitendes Gewerbe nach Energietraegern|Strom;;;;;
;6_2 Endenergieverbrauch Bergbau, Gewinnung von Steinen und Erden und Verarbeitendes Gewerbe nach Energietraegern|Fernwärme;;;;;
;6_2 Endenergieverbrauch Bergbau, Gewinnung von Steinen und Erden und Verarbeitendes Gewerbe nach Energietraegern|Insgesamt;;;;;
FE|Buildings|Solids|Coal;6_3 Endenergieverbrauch Private Haushalte nach Energietraegern|Steinkohle;1;EJ/yr;PJ;0.001;
FE|Buildings|Solids|Coal;6_3 Endenergieverbrauch Private Haushalte nach Energietraegern|Braunkohle;1;EJ/yr;PJ;0.001;
FE|Buildings|Liquids|Fossil|Oil;6_3 Endenergieverbrauch Private Haushalte nach Energietraegern|Mineralöle;1;EJ/yr;PJ;0.001;
