generic;ADVANCE
ES|Transport|Pass|LDV (bn pkm/yr);Transport|Service demand|Road|Passenger|LDV (billion pkm/yr)
ES|Transport|Freight (bn tkm/yr);Transport|Service demand|All|Freight (billion tkm/yr)
Emi|CO2|Transport (Mt CO2/yr);Transport|CO2|All (Mt CO2/yr)
Emi|CO2|Transport|Pass|Road|LDV (Mt CO2/yr);Transport|CO2|Road|Passenger|LDV (Mt CO2/yr)
Est|LDV Stock (million vehicles);Transport|Stock|Road|All (million vehicles)
Est|LDV Stock (million vehicles);Transport|Stock|Road|Passenger|All (million vehicles)
Est|LDV Stock (million vehicles);Transport|Stock|Road|Passenger|LDV|All (million vehicles)
Est|EV LDV Stock (million vehicles);Transport|Stock|Road|Passenger|LDV|Electric|All (million vehicles)
Est|EV LDV Stock (million vehicles);Transport|Stock|Road|Passenger|LDV|Electric|BEV (million vehicles)
Est|H2 LDV Stock (million vehicles);Transport|Stock|Road|Passenger|LDV|FC (million vehicles)
Est|LDV Sales (million vehicles);Transport|Sales|Road|All (million vehicles)
Est|LDV Sales (million vehicles);Transport|Sales|Road|Passenger|All (million vehicles)
Est|LDV Sales (million vehicles);Transport|Sales|Road|Passenger|LDV|All (million vehicles)
Est|EV LDV Sales (million vehicles);Transport|Sales|Road|Passenger|LDV|Electric|All (million vehicles)
Est|EV LDV Sales (million vehicles);Transport|Sales|Road|Passenger|LDV|Electric|BEV (million vehicles)
Est|H2 LDV Sales (million vehicles);Transport|Sales|Road|Passenger|LDV|FC (million vehicles)
Est|H2 LDV Sales (million vehicles);Transport|Sales|Road|Passenger|LDV|FC (million vehicles)
Tech|Transport|Pass|Road|LDV|EV|Capital Costs (US$2005/veh);Transport|Investment Costs|Road|Passenger|LDV|Electric|All (US$2005/veh)
Tech|Transport|Pass|Road|LDV|EV|Capital Costs (US$2005/veh);Transport|Investment Costs|Road|Passenger|LDV|Electric|BEV (US$2005/veh)
Tech|Transport|Pass|Road|LDV|ICE|Capital Costs (US$2005/veh);Transport|Investment Costs|Road|Passenger|LDV|ICE (US$2005/veh)
Tech|Transport|Pass|Road|LDV|H2|Capital Costs (US$2005/veh);Transport|Investment Costs|Road|Passenger|LDV|FC (US$2005/veh)
