r17m30;AR6DB;factor
Tech|Hydrogen|Gas|gash2c|w/ CCS|Capital Costs ($/kW);Capital Cost|Hydrogen|Gas|w/ CCS (US$2010/kW);1.10774
Tech|Hydrogen|Gas|gash2|w/o CCS|Capital Costs ($/kW);Capital Cost|Hydrogen|Gas|w/o CCS (US$2010/kW);1.10774
Tech|Liquids|Biomass|bioftcrec|w/ CCS|Capital Costs ($/kW);Capital Cost|Liquids|Biomass|w/ CCS (US$2010/kW);1.10774
Tech|Liquids|Biomass|bioftrec|w/o CCS|Capital Costs ($/kW);Capital Cost|Liquids|Biomass|w/o CCS (US$2010/kW);1.10774
Tech|Liquids|Coal|coalftcrec|w/ CCS|Capital Costs ($/kW);Capital Cost|Liquids|Coal|w/ CCS (US$2010/kW);1.10774
Tech|Liquids|Coal|coalftrec|w/o CCS|Capital Costs ($/kW);Capital Cost|Liquids|Coal|w/o CCS (US$2010/kW);1.10774
Tech|Liquids|Oil|refliq|Capital Costs ($/kW);Capital Cost|Liquids|Oil (US$2010/kW);1.10774
Emissions|CO2|Carbon Capture and Storage (Mt CO2/yr);Carbon Sequestration|CCS (Mt CO2/yr);1
Emissions|CO2|Carbon Capture and Storage|Biomass (Mt CO2/yr);Carbon Sequestration|CCS|Biomass (Mt CO2/yr);1
Emissions|CO2|Carbon Capture and Storage|Biomass|Energy|Demand|Industry (Mt CO2/yr);Carbon Sequestration|CCS|Biomass|Energy|Demand|Industry (Mt CO2/yr);1
Emissions|CO2|Carbon Capture and Storage|Biomass|Supply|w/ couple prod (Mt CO2/yr);Carbon Sequestration|CCS|Biomass|Energy|Supply (Mt CO2/yr);1
Emissions|CO2|Carbon Capture and Storage|Biomass|Supply|Electricity|w/ couple prod (Mt CO2/yr);Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity (Mt CO2/yr);1
Emissions|CO2|Carbon Capture and Storage|Biomass|Supply|Gases|w/ couple prod (Mt CO2/yr);Carbon Sequestration|CCS|Biomass|Energy|Supply|Gases (Mt CO2/yr);1
Emissions|CO2|Carbon Capture and Storage|Biomass|Supply|Hydrogen|w/ couple prod (Mt CO2/yr);Carbon Sequestration|CCS|Biomass|Energy|Supply|Hydrogen (Mt CO2/yr);1
Emissions|CO2|Carbon Capture and Storage|Biomass|Supply|Liquids|w/ couple prod (Mt CO2/yr);Carbon Sequestration|CCS|Biomass|Energy|Supply|Liquids (Mt CO2/yr);1
Emissions|CO2|Carbon Capture and Storage|Fossil|Pe2Se (Mt CO2/yr);Carbon Sequestration|CCS|Fossil (Mt CO2/yr);1
Emissions|CO2|Carbon Capture and Storage|Fossil|Energy|Demand|Industry (Mt CO2/yr);Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry (Mt CO2/yr);1
Emissions|CO2|Carbon Capture and Storage|Fossil|Pe2Se (Mt CO2/yr);Carbon Sequestration|CCS|Fossil|Energy|Supply (Mt CO2/yr);1
Emissions|CO2|CDR|DAC (Mt CO2/yr);Carbon Sequestration|Direct Air Capture (Mt CO2/yr);-1
Emissions|CO2|CDR|EW (Mt CO2/yr);Carbon Sequestration|Enhanced Weathering (Mt CO2/yr);-1
Emissions|CO2|Land Use|Negative (Mt CO2/yr);Carbon Sequestration|Land Use (Mt CO2/yr);-1
Emissions|CO2|Land Use|Negative (Mt CO2/yr);Carbon Sequestration|Land Use|Afforestation (Mt CO2/yr);-1
Concentration|CH4 (ppb);Concentration|CH4 (ppb);1
Concentration|CO2 (ppm);Concentration|CO2 (ppm);1
Concentration|N2O (ppb);Concentration|N2O (ppb);1
Consumption (billion US$2005/yr);Consumption (billion US$2010/yr);1
Cumulative Cap|Electricity|Biomass (GW);Cumulative Capacity|Electricity|Biomass (GW);1
Cumulative Cap|Electricity|Biomass|w/ CCS (GW);Cumulative Capacity|Electricity|Biomass|w/ CCS (GW);1
Cumulative Cap|Electricity|Biomass|w/o CCS (GW);Cumulative Capacity|Electricity|Biomass|w/o CCS (GW);1
Cumulative Cap|Electricity|Coal (GW);Cumulative Capacity|Electricity|Coal (GW);1
Cumulative Cap|Electricity|Coal|w/ CCS (GW);Cumulative Capacity|Electricity|Coal|w/ CCS (GW);1
Cumulative Cap|Electricity|Coal|w/o CCS (GW);Cumulative Capacity|Electricity|Coal|w/o CCS (GW);1
Cumulative Cap|Electricity|Gas (GW);Cumulative Capacity|Electricity|Gas (GW);1
Cumulative Cap|Electricity|Gas|w/ CCS (GW);Cumulative Capacity|Electricity|Gas|w/ CCS (GW);1
Cumulative Cap|Electricity|Gas|w/o CCS (GW);Cumulative Capacity|Electricity|Gas|w/o CCS (GW);1
Cumulative Cap|Electricity|Hydro (GW);Cumulative Capacity|Electricity|Hydro (GW);1
Cumulative Cap|Electricity|Nuclear (GW);Cumulative Capacity|Electricity|Nuclear (GW);1
Cumulative Cap|Electricity|Solar|CSP (GW);Cumulative Capacity|Electricity|Solar|CSP (GW);1
Cumulative Cap|Electricity|Solar|PV (GW);Cumulative Capacity|Electricity|Solar|PV (GW);1
Cumulative Cap|Electricity|Wind (GW);Cumulative Capacity|Electricity|Wind (GW);1
Tech|Electricity|Biomass|w/ CCS|Efficiency (%);Efficiency|Electricity|Biomass|w/ CCS (%);1
Tech|Electricity|Biomass|w/o CCS|Efficiency (%);Efficiency|Electricity|Biomass|w/o CCS (%);1
Tech|Electricity|Coal|IGCCC|w/ CCS|Efficiency (%);Efficiency|Electricity|Coal|w/ CCS (%);1
Tech|Electricity|Coal|PC|w/o CCS|Efficiency (%);Efficiency|Electricity|Coal|w/o CCS (%);1
Tech|Electricity|Gas|CCC|w/ CCS|Efficiency (%);Efficiency|Electricity|Gas|w/ CCS (%);1
Tech|Electricity|Gas|CC|w/o CCS|Efficiency (%);Efficiency|Electricity|Gas|w/o CCS (%);1
Tech|Gases|Biomass|biogas|w/o CCS|Efficiency (%);Efficiency|Gases|Biomass|w/o CCS (%);1
Tech|Gases|Coal|coalgas|w/o CCS|Efficiency (%);Efficiency|Gases|Coal|w/o CCS (%);1
Tech|Hydrogen|Biomass|bioh2c|w/ CCS|Efficiency (%);Efficiency|Hydrogen|Biomass|w/ CCS (%);1
Tech|Hydrogen|Biomass|bioh2|w/o CCS|Efficiency (%);Efficiency|Hydrogen|Biomass|w/o CCS (%);1
Tech|Hydrogen|Coal|coalh2c|w/ CCS|Efficiency (%);Efficiency|Hydrogen|Coal|w/ CCS (%);1
Tech|Hydrogen|Coal|coalh2|w/o CCS|Efficiency (%);Efficiency|Hydrogen|Coal|w/o CCS (%);1
Tech|Hydrogen|Electricity|Efficiency (%);Efficiency|Hydrogen|Electricity (%);1
Tech|Hydrogen|Gas|gash2c|w/ CCS|Efficiency (%);Efficiency|Hydrogen|Gas|w/ CCS (%);1
Tech|Hydrogen|Gas|gash2|w/o CCS|Efficiency (%);Efficiency|Hydrogen|Gas|w/o CCS (%);1
Tech|Liquids|Biomass|bioftcrec|w/ CCS|Efficiency (%);Efficiency|Liquids|Biomass|w/ CCS (%);1
Tech|Liquids|Biomass|bioftrec|w/o CCS|Efficiency (%);Efficiency|Liquids|Biomass|w/o CCS (%);1
Tech|Liquids|Coal|coalftcrec|w/ CCS|Efficiency (%);Efficiency|Liquids|Coal|w/ CCS (%);1
Tech|Liquids|Coal|coalftrec|w/o CCS|Efficiency (%);Efficiency|Liquids|Coal|w/o CCS (%);1
Tech|Liquids|Oil|refliq|Efficiency (%);Efficiency|Liquids|Oil (%);1
Emissions|BC (Mt BC/yr);Emissions|BC (Mt BC/yr);1
Emissions|BC|Land Use (Mt BC/yr);Emissions|BC|AFOLU (Mt BC/yr);1
Emissions|BC|Energy Supply and Demand (Mt BC/yr);Emissions|BC|Energy (Mt BC/yr);1
Emissions|BC|Energy Demand|Industry (Mt BC/yr);Emissions|BC|Energy|Demand|Industry (Mt BC/yr);1
Emissions|BC|Energy Demand|ResCom (Mt BC/yr);Emissions|BC|Energy|Demand|Buildings (Mt BC/yr);1
Emissions|BC|Energy Demand|Transport (Mt BC/yr);Emissions|BC|Energy|Demand|Transportation (Mt BC/yr);1
Emissions|BC|Energy Supply (Mt BC/yr);Emissions|BC|Energy|Supply (Mt BC/yr);1
Emissions|BC|Waste (Mt BC/yr);Emissions|BC|Other (Mt BC/yr);1
Emissions|CH4 (Mt CH4/yr);Emissions|CH4 (Mt CH4/yr);1
Emissions|CH4|Land Use (Mt CH4/yr);Emissions|CH4|AFOLU (Mt CH4/yr);1
Emissions|CH4|Energy Supply and Demand (Mt CH4/yr);Emissions|CH4|Energy (Mt CH4/yr);1
Emissions|CH4|Energy Demand|ResCom (Mt CH4/yr);Emissions|CH4|Energy|Demand|Buildings (Mt CH4/yr);1
Emissions|CH4|Energy Supply (Mt CH4/yr);Emissions|CH4|Energy|Supply (Mt CH4/yr);1
Emissions|CH4|Waste (Mt CH4/yr);Emissions|CH4|Other (Mt CH4/yr);1
Emissions|CO (Mt CO/yr);Emissions|CO (Mt CO/yr);1
Emissions|CO|Land Use (Mt CO/yr);Emissions|CO|AFOLU (Mt CO/yr);1
Emissions|CO|Energy Supply and Demand (Mt CO/yr);Emissions|CO|Energy (Mt CO/yr);1
Emissions|CO|Energy Demand|Industry (Mt CO/yr);Emissions|CO|Energy|Demand|Industry (Mt CO/yr);1
Emissions|CO|Energy Demand|ResCom (Mt CO/yr);Emissions|CO|Energy|Demand|Buildings (Mt CO/yr);1
Emissions|CO|Energy Demand|Transport (Mt CO/yr);Emissions|CO|Energy|Demand|Transportation (Mt CO/yr);1
Emissions|CO|Energy Supply (Mt CO/yr);Emissions|CO|Energy|Supply (Mt CO/yr);1
Emissions|CO2 (Mt CO2/yr);Emissions|CO2 (Mt CO2/yr);1
Emissions|CO2|Land Use (Mt CO2/yr);Emissions|CO2|AFOLU (Mt CO2/yr);1
Emissions|CO2|Energy (Mt CO2/yr);Emissions|CO2|Energy (Mt CO2/yr);1
Emissions|CO2|Fossil Fuels and Industry (Mt CO2/yr);Emissions|CO2|Energy and Industrial Processes (Mt CO2/yr);1
Emissions|CO2|Fossil Fuels and Industry|Demand|After IndustryCCS (Mt CO2/yr);Emissions|CO2|Energy|Demand (Mt CO2/yr);1
Emissions|CO2|Industry|Direct (Mt CO2/yr);Emissions|CO2|Energy|Demand|Industry (Mt CO2/yr);1
Emissions|CO2|Buildings|Direct (Mt CO2/yr);Emissions|CO2|Energy|Demand|Buildings (Mt CO2/yr);1
Emissions|CO2|Transport|Demand (Mt CO2/yr);Emissions|CO2|Energy|Demand|Transportation (Mt CO2/yr);1
Emissions|CO2|Fossil Fuels and Industry|Indirect (Mt CO2/yr);Emissions|CO2|Energy|Supply (Mt CO2/yr);1
Emissions|CO2|Energy|Supply|Electricity (Mt CO2/yr);Emissions|CO2|Energy|Supply|Electricity (Mt CO2/yr);1
Emissions|CO2|Energy|Supply|Gases|w/ couple prod|Before IndustryCCS (Mt CO2/yr);Emissions|CO2|Energy|Supply|Gases (Mt CO2/yr);1
Emissions|CO2|Energy|Supply|Heat|w/ couple prod (Mt CO2/yr);Emissions|CO2|Energy|Supply|Heat (Mt CO2/yr);1
Emissions|CO2|Energy|Supply|Liquids|w/ couple prod|Before IndustryCCS (Mt CO2/yr);Emissions|CO2|Energy|Supply|Liquids (Mt CO2/yr);1
Emissions|CO2|Energy|Supply|Solids|w/ couple prod|Before IndustryCCS (Mt CO2/yr);Emissions|CO2|Energy|Supply|Solids (Mt CO2/yr);1
Emissions|CO2|Fossil Fuels and Industry|Cement process (Mt CO2/yr);Emissions|CO2|Industrial Processes (Mt CO2/yr);1
Emissions|F-Gases (Mt CO2-equiv/yr);Emissions|F-Gases (Mt CO2-equiv/yr);1
Emissions|HFC (kt HFC134a-equiv/yr);Emissions|HFC (kt HFC134a-equiv/yr);1
Emissions|Kyoto Gases (Mt CO2-equiv/yr);Emissions|Kyoto Gases (Mt CO2-equiv/yr);1
Emissions|N2O (kt N2O/yr);Emissions|N2O (kt N2O/yr);1
Emissions|N2O|Land Use (kt N2O/yr);Emissions|N2O|AFOLU (kt N2O/yr);1
Emissions|N2O|Energy Supply and Demand (kt N2O/yr);Emissions|N2O|Energy (kt N2O/yr);1
Emissions|N2O|Industry (kt N2O/yr);Emissions|N2O|Industrial Processes (kt N2O/yr);1
Emissions|N2O|Waste (kt N2O/yr);Emissions|N2O|Other (kt N2O/yr);1
Emissions|NH3 (Mt NH3/yr);Emissions|NH3 (Mt NH3/yr);1
