generic;cdlinks;factor
GDP|PPP (billion US$2005/yr);GDP|PPP (billion US$2010/yr);1.10774
Investments (billion US$2005/yr);Investment (billion US$2010/yr );1.10774
Energy Investments|Demand (billion US$2005/yr);Investment|Energy Demand (billion US$2010/yr );1.10774
Energy Investments|Supply (billion US$2005/yr);Investment|Energy Supply (billion US$2010/yr );1.10774
Policy Cost|Consumption Loss (billion US$2005/yr);Policy Cost|Consumption Loss (billion US$2010/yr);1.10774
Policy Cost|GDP Loss (billion US$2005/yr);Policy Cost|GDP Loss (billion US$2010/yr);1.10774
Policy Cost|Consumption + Current Account Loss (billion US$2005/yr);Policy Cost|Other (billion US$2010/yr);1.10774
Population (million);Population (million);1
Price|Carbon (US$2005/t CO2);Price|Carbon (US$2010/t CO2);1.10774
Price|Biomass|World Market (US$2005/GJ);Price|Primary Energy|Biomass (US$2010/GJ);1.10774
Price|Coal|Primary Level (US$2005/GJ);Price|Primary Energy|Coal (US$2010/GJ);1.10774
Price|Natural Gas|Primary Level (US$2005/GJ);Price|Primary Energy|Gas (US$2010/GJ);1.10774
Price|Crude Oil|Primary Level (US$2005/GJ);Price|Primary Energy|Oil (US$2010/GJ);1.10774
Price|Secondary Energy|Electricity (US$2005/GJ);Price|Secondary Energy|Electricity (US$2010/GJ);1.10774
Price|Secondary Energy|Gases (US$2005/GJ);Price|Secondary Energy|Gases|Natural Gas (US$2010/GJ);1.10774
Price|Secondary Energy|Hydrogen (US$2005/GJ);Price|Secondary Energy|Hydrogen (US$2010/GJ);1.10774
Price|Secondary Energy|Liquids (US$2005/GJ);Price|Secondary Energy|Liquids (US$2010/GJ);1.10774
Price|Secondary Energy|Solids (US$2005/GJ);Price|Secondary Energy|Solids|Coal (US$2010/GJ);1.10774
PE (EJ/yr);Primary Energy (EJ/yr);1
PE|Biomass (EJ/yr);Primary Energy|Biomass (EJ/yr);1
PE|Biomass|w/ CCS (EJ/yr);Primary Energy|Biomass|w/ CCS (EJ/yr);1
PE|Biomass|w/o CCS (EJ/yr);Primary Energy|Biomass|w/o CCS (EJ/yr);1
PE|Coal (EJ/yr);Primary Energy|Coal (EJ/yr);1
PE|Coal|w/ CCS (EJ/yr);Primary Energy|Coal|w/ CCS (EJ/yr);1
PE|Coal|w/o CCS (EJ/yr);Primary Energy|Coal|w/o CCS (EJ/yr);1
PE|Fossil (EJ/yr);Primary Energy|Fossil (EJ/yr);1
PE|Fossil|w/ CCS (EJ/yr);Primary Energy|Fossil|w/ CCS (EJ/yr);1
PE|Fossil|w/o CCS (EJ/yr);Primary Energy|Fossil|w/o CCS (EJ/yr);1
PE|Gas (EJ/yr);Primary Energy|Gas (EJ/yr);1
PE|Gas|w/ CCS (EJ/yr);Primary Energy|Gas|w/ CCS (EJ/yr);1
PE|Gas|w/o CCS (EJ/yr);Primary Energy|Gas|w/o CCS (EJ/yr);1
PE|Geothermal (EJ/yr);Primary Energy|Geothermal (EJ/yr);1
PE|Hydro (EJ/yr);Primary Energy|Hydro (EJ/yr);1
PE|Non-Biomass Renewables (EJ/yr);Primary Energy|Non-Biomass Renewables (EJ/yr);1
PE|Nuclear (EJ/yr);Primary Energy|Nuclear (EJ/yr);1
PE|Oil (EJ/yr);Primary Energy|Oil (EJ/yr);1
PE|Oil|w/o CCS (EJ/yr);Primary Energy|Oil|w/o CCS (EJ/yr);1
PE|Solar (EJ/yr);Primary Energy|Solar (EJ/yr);1
PE|Wind (EJ/yr);Primary Energy|Wind (EJ/yr);1
Res|Extraction|Gas (EJ/yr);Resource|Cumulative Extraction|Gas|Conventional (EJ);1
Res|Extraction|Oil (EJ/yr);Resource|Cumulative Extraction|Oil|Conventional (EJ);1
SE (EJ/yr);Secondary Energy (EJ/yr);1
SE|Electricity (EJ/yr);Secondary Energy|Electricity (EJ/yr);1
SE|Electricity|Biomass (EJ/yr);Secondary Energy|Electricity|Biomass (EJ/yr);1
SE|Electricity|Biomass|w/ CCS (EJ/yr);Secondary Energy|Electricity|Biomass|w/ CCS (EJ/yr);1
SE|Electricity|Biomass|w/o CCS (EJ/yr);Secondary Energy|Electricity|Biomass|w/o CCS (EJ/yr);1
SE|Electricity|Coal (EJ/yr);Secondary Energy|Electricity|Coal (EJ/yr);1
SE|Electricity|Coal|w/ CCS (EJ/yr);Secondary Energy|Electricity|Coal|w/ CCS (EJ/yr);1
SE|Electricity|Coal|w/o CCS (EJ/yr);Secondary Energy|Electricity|Coal|w/o CCS (EJ/yr);1
SE|Electricity|Gas (EJ/yr);Secondary Energy|Electricity|Gas (EJ/yr);1
SE|Electricity|Gas|w/ CCS (EJ/yr);Secondary Energy|Electricity|Gas|w/ CCS (EJ/yr);1
SE|Electricity|Gas|w/o CCS (EJ/yr);Secondary Energy|Electricity|Gas|w/o CCS (EJ/yr);1
SE|Electricity|Geothermal (EJ/yr);Secondary Energy|Electricity|Geothermal (EJ/yr);1
SE|Electricity|Hydro (EJ/yr);Secondary Energy|Electricity|Hydro (EJ/yr);1
SE|Electricity|Non-Biomass Renewables (EJ/yr);Secondary Energy|Electricity|Non-Biomass Renewables (EJ/yr);1
SE|Electricity|Nuclear (EJ/yr);Secondary Energy|Electricity|Nuclear (EJ/yr);1
SE|Electricity|Oil (EJ/yr);Secondary Energy|Electricity|Oil (EJ/yr);1
SE|Electricity|Oil|w/o CCS (EJ/yr);Secondary Energy|Electricity|Oil|w/o CCS (EJ/yr);1
SE|Electricity|Solar (EJ/yr);Secondary Energy|Electricity|Solar (EJ/yr);1
SE|Electricity|Solar|CSP (EJ/yr);Secondary Energy|Electricity|Solar|CSP (EJ/yr);1
SE|Electricity|Solar|PV (EJ/yr);Secondary Energy|Electricity|Solar|PV (EJ/yr);1
SE|Electricity|Wind (EJ/yr);Secondary Energy|Electricity|Wind (EJ/yr);1
SE|Gases (EJ/yr);Secondary Energy|Gases (EJ/yr);1
SE|Gases|Biomass (EJ/yr);Secondary Energy|Gases|Biomass (EJ/yr);1
SE|Gases|Coal (EJ/yr);Secondary Energy|Gases|Coal (EJ/yr);1
SE|Gases|Natural Gas (EJ/yr);Secondary Energy|Gases|Natural Gas (EJ/yr);1
SE|Heat (EJ/yr);Secondary Energy|Heat (EJ/yr);1
SE|Hydrogen (EJ/yr);Secondary Energy|Hydrogen (EJ/yr);1
SE|Liquids (EJ/yr);Secondary Energy|Liquids (EJ/yr);1
SE|Liquids|Biomass (EJ/yr);Secondary Energy|Liquids|Biomass (EJ/yr);1
SE|Liquids|Biomass|w/ CCS (EJ/yr);Secondary Energy|Liquids|Biomass|w/ CCS (EJ/yr);1
SE|Liquids|Biomass|w/o CCS (EJ/yr);Secondary Energy|Liquids|Biomass|w/o CCS (EJ/yr);1
SE|Liquids|Coal (EJ/yr);Secondary Energy|Liquids|Coal (EJ/yr);1
SE|Liquids|Coal|w/ CCS (EJ/yr);Secondary Energy|Liquids|Coal|w/ CCS (EJ/yr);1
SE|Liquids|Coal|w/o CCS (EJ/yr);Secondary Energy|Liquids|Coal|w/o CCS (EJ/yr);1
SE|Liquids|Oil (EJ/yr);Secondary Energy|Liquids|Oil (EJ/yr);1
SE|Solids (EJ/yr);Secondary Energy|Solids (EJ/yr);1
SE|Solids|Biomass (EJ/yr);Secondary Energy|Solids|Biomass (EJ/yr);1
SE|Solids|Coal (EJ/yr);Secondary Energy|Solids|Coal (EJ/yr);1
Temperature|Global Mean (K);Temperature|Global Mean (K);1
Trade|Coal (EJ/yr);Trade|Primary Energy|Coal|Volume (EJ/yr);1
Trade|Gas (EJ/yr);Trade|Primary Energy|Gas|Volume (EJ/yr);1
Trade|Oil (EJ/yr);Trade|Primary Energy|Oil|Volume (EJ/yr);1
Subsidies|Final Energy (billion US$2005/yr);Subsidies|Energy|Fossil (billion US$2010/yr );1.10774
PE|Biomass|Electricity (EJ/yr);Primary Energy|Biomass|Electricity (EJ/yr);1
PE|Biomass|Electricity|w/o CCS (EJ/yr);Primary Energy|Biomass|Electricity|w/o CCS (EJ/yr);1
PE|Biomass|Electricity|w/ CCS (EJ/yr);Primary Energy|Biomass|Electricity|w/ CCS (EJ/yr);1
PE|Coal|Electricity (EJ/yr);Primary Energy|Coal|Electricity (EJ/yr);1
PE|Coal|Electricity|w/o CCS (EJ/yr);Primary Energy|Coal|Electricity|w/o CCS (EJ/yr);1
PE|Coal|Electricity|w/ CCS (EJ/yr);Primary Energy|Coal|Electricity|w/ CCS (EJ/yr);1
PE|Gas|Electricity (EJ/yr);Primary Energy|Gas|Electricity (EJ/yr);1
PE|Gas|Electricity|w/o CCS (EJ/yr);Primary Energy|Gas|Electricity|w/o CCS (EJ/yr);1
PE|Gas|Electricity|w/ CCS (EJ/yr);Primary Energy|Gas|Electricity|w/ CCS (EJ/yr);1
SE|Electricity|Oil (EJ/yr);Primary Energy|Oil|Electricity (EJ/yr);3.33
SE|Electricity|Oil|w/o CCS (EJ/yr);Primary Energy|Oil|Electricity|w/o CCS (EJ/yr);3.33
SE|Electricity|Oil|w/o CCS (EJ/yr);Primary Energy|Oil|Electricity|w/ CCS (EJ/yr);0
Water Consumption|Electricity (km3/yr);Water Consumption|Electricity (km3/yr);1
Water Consumption|Electricity|Fossil (km3/yr);Water Consumption|Electricity|Fossil (km3/yr);1
Water Consumption|Electricity|Fossil|w/ CCS (km3/yr);Water Consumption|Electricity|Fossil|w/ CCS (km3/yr);1
Water Consumption|Electricity|Fossil|w/o CCS (km3/yr);Water Consumption|Electricity|Fossil|w/o CCS (km3/yr);1
Water Consumption|Electricity|Coal (km3/yr);Water Consumption|Electricity|Coal (km3/yr);1
Water Consumption|Electricity|Coal|w/ CCS (km3/yr);Water Consumption|Electricity|Coal|w/ CCS (km3/yr);1
Water Consumption|Electricity|Coal|w/o CCS (km3/yr);Water Consumption|Electricity|Coal|w/o CCS (km3/yr);1
Water Consumption|Electricity|Oil (km3/yr);Water Consumption|Electricity|Oil (km3/yr);1
Water Consumption|Electricity|Oil|w/o CCS (km3/yr);Water Consumption|Electricity|Oil|w/o CCS (km3/yr);1
Water Consumption|Electricity|Gas (km3/yr);Water Consumption|Electricity|Gas (km3/yr);1
Water Consumption|Electricity|Gas|w/ CCS (km3/yr);Water Consumption|Electricity|Gas|w/ CCS (km3/yr);1
Water Consumption|Electricity|Gas|w/o CCS (km3/yr);Water Consumption|Electricity|Gas|w/o CCS (km3/yr);1
Water Consumption|Electricity|Biomass (km3/yr);Water Consumption|Electricity|Biomass (km3/yr);1
Water Consumption|Electricity|Biomass|w/ CCS (km3/yr);Water Consumption|Electricity|Biomass|w/ CCS (km3/yr);1
Water Consumption|Electricity|Biomass|w/o CCS (km3/yr);Water Consumption|Electricity|Biomass|w/o CCS (km3/yr);1
Water Consumption|Electricity|Nuclear (km3/yr);Water Consumption|Electricity|Nuclear (km3/yr);1
Water Consumption|Electricity|Non-Biomass Renewables (km3/yr);Water Consumption|Electricity|Non-Biomass Renewables (km3/yr);1
Water Consumption|Electricity|Hydro (km3/yr);Water Consumption|Electricity|Hydro (km3/yr);1
Water Consumption|Electricity|Solar (km3/yr);Water Consumption|Electricity|Solar (km3/yr);1
Water Consumption|Electricity|Solar|PV (km3/yr);Water Consumption|Electricity|Solar|PV (km3/yr);1
Water Consumption|Electricity|Solar|CSP (km3/yr);Water Consumption|Electricity|Solar|CSP (km3/yr);1
Water Consumption|Electricity|Wind (km3/yr);Water Consumption|Electricity|Wind (km3/yr);1
Water Consumption|Electricity|Geothermal (km3/yr);Water Consumption|Electricity|Geothermal (km3/yr);1
Water Consumption|Electricity|Once Through (km3/yr);Water Consumption|Electricity|Once Through (km3/yr);1
Water Consumption|Electricity|Wet Tower (km3/yr);Water Consumption|Electricity|Wet Tower (km3/yr);1
Water Consumption|Electricity|Cooling Pond (km3/yr);Water Consumption|Electricity|Cooling Pond (km3/yr);1
Water Consumption|Electricity|Dry Cooling (km3/yr);Water Consumption|Electricity|Dry Cooling (km3/yr);1
Water Withdrawal|Electricity (km3/yr);Water Withdrawal|Electricity (km3/yr);1
Water Withdrawal|Electricity|Fossil (km3/yr);Water Withdrawal|Electricity|Fossil (km3/yr);1
Water Withdrawal|Electricity|Fossil|w/ CCS (km3/yr);Water Withdrawal|Electricity|Fossil|w/ CCS (km3/yr);1
