generic;ADVANCE
SE|Electricity|Biomass|w/ CCS (EJ/yr);Secondary Energy|Electricity|Biomass|w/ CCS (EJ/yr)
SE|Electricity|Biomass|w/o CCS (EJ/yr);Secondary Energy|Electricity|Biomass|w/o CCS (EJ/yr)
SE|Electricity|Fossil (EJ/yr);Secondary Energy|Electricity|Fossil (EJ/yr)
SE|Electricity|Fossil|w/ CCS (EJ/yr);Secondary Energy|Electricity|Fossil|w/ CCS (EJ/yr)
SE|Electricity|Fossil|w/o CCS (EJ/yr);Secondary Energy|Electricity|Fossil|w/o CCS (EJ/yr)
SE|Electricity|Coal (EJ/yr);Secondary Energy|Electricity|Coal (EJ/yr)
SE|Electricity|Coal|w/ CCS (EJ/yr);Secondary Energy|Electricity|Coal|w/ CCS (EJ/yr)
SE|Electricity|Coal|w/o CCS (EJ/yr);Secondary Energy|Electricity|Coal|w/o CCS (EJ/yr)
SE|Electricity|Gas (EJ/yr);Secondary Energy|Electricity|Gas (EJ/yr)
SE|Electricity|Gas|w/ CCS (EJ/yr);Secondary Energy|Electricity|Gas|w/ CCS (EJ/yr)
SE|Electricity|Gas|w/o CCS (EJ/yr);Secondary Energy|Electricity|Gas|w/o CCS (EJ/yr)
SE|Electricity|Geothermal (EJ/yr);Secondary Energy|Electricity|Geothermal (EJ/yr)
SE|Electricity|Hydro (EJ/yr);Secondary Energy|Electricity|Hydro (EJ/yr)
SE|Electricity|Non-Biomass Renewables (EJ/yr);Secondary Energy|Electricity|Non-Biomass Renewables (EJ/yr)
SE|Electricity|Nuclear (EJ/yr);Secondary Energy|Electricity|Nuclear (EJ/yr)
SE|Electricity|Oil (EJ/yr);Secondary Energy|Electricity|Oil (EJ/yr)
SE|Electricity|Oil|w/o CCS (EJ/yr);Secondary Energy|Electricity|Oil|w/o CCS (EJ/yr)
SE|Electricity|Solar (EJ/yr);Secondary Energy|Electricity|Solar (EJ/yr)
SE|Electricity|Solar|CSP (EJ/yr);Secondary Energy|Electricity|Solar|CSP (EJ/yr)
SE|Electricity|Solar|PV (EJ/yr);Secondary Energy|Electricity|Solar|PV (EJ/yr)
SE|Electricity|Wind (EJ/yr);Secondary Energy|Electricity|Wind (EJ/yr)
SE|Gases (EJ/yr);Secondary Energy|Gases (EJ/yr)
SE|Gases|Biomass (EJ/yr);Secondary Energy|Gases|Biomass (EJ/yr)
SE|Gases|Coal (EJ/yr);Secondary Energy|Gases|Coal (EJ/yr)
SE|Gases|Natural Gas (EJ/yr);Secondary Energy|Gases|Natural Gas (EJ/yr)
SE|Gases|Other (EJ/yr);Secondary Energy|Gases|Other (EJ/yr)
SE|Heat (EJ/yr);Secondary Energy|Heat (EJ/yr)
SE|Hydrogen (EJ/yr);Secondary Energy|Hydrogen (EJ/yr)
SE|Liquids (EJ/yr);Secondary Energy|Liquids (EJ/yr)
SE|Liquids|Biomass (EJ/yr);Secondary Energy|Liquids|Biomass (EJ/yr)
SE|Liquids|Biomass|w/ CCS (EJ/yr);Secondary Energy|Liquids|Biomass|w/ CCS (EJ/yr)
SE|Liquids|Biomass|w/o CCS (EJ/yr);Secondary Energy|Liquids|Biomass|w/o CCS (EJ/yr)
SE|Liquids|Coal (EJ/yr);Secondary Energy|Liquids|Coal (EJ/yr)
SE|Liquids|Coal|w/ CCS (EJ/yr);Secondary Energy|Liquids|Coal|w/ CCS (EJ/yr)
SE|Liquids|Coal|w/o CCS (EJ/yr);Secondary Energy|Liquids|Coal|w/o CCS (EJ/yr)
SE|Liquids|Oil (EJ/yr);Secondary Energy|Liquids|Oil (EJ/yr)
SE|Solids (EJ/yr);Secondary Energy|Solids (EJ/yr)
SE|Solids|Biomass (EJ/yr);Secondary Energy|Solids|Biomass (EJ/yr)
SE|Solids|Coal (EJ/yr);Secondary Energy|Solids|Coal (EJ/yr)
Subsidies|Final Energy (billion US$2005/yr);Subsidies|Final Energy (billion US$2005/yr)
Subsidies|Final Energy|Stationary (billion US$2005/yr);Subsidies|Final Energy|Industry (billion US$2005/yr)
Subsidies|Final Energy|Stationary|Electricity (billion US$2005/yr);Subsidies|Final Energy|Industry|Electricity (billion US$2005/yr)
Subsidies|Final Energy|Stationary|Gases (billion US$2005/yr);Subsidies|Final Energy|Industry|Gases|Natural Gas (billion US$2005/yr)
Subsidies|Final Energy|Stationary|Liquids (billion US$2005/yr);Subsidies|Final Energy|Industry|Liquids|Oil (billion US$2005/yr)
Subsidies|Final Energy|Stationary|Solids (billion US$2005/yr);Subsidies|Final Energy|Industry|Solids|Coal (billion US$2005/yr)
Subsidies|Final Energy|Transportation (billion US$2005/yr);Subsidies|Final Energy|Transportation (billion US$2005/yr)
Subsidies|Final Energy|Transportation|Liquids|Oil (billion US$2005/yr);Subsidies|Final Energy|Transportation|Liquids|Oil (billion US$2005/yr)
Taxes|Final Energy (billion US$2005/yr);Taxes|Final Energy (billion US$2005/yr)
Taxes|Final Energy|Stationary (billion US$2005/yr);Taxes|Final Energy|Industry (billion US$2005/yr)
Taxes|Final Energy|Stationary|Electricity (billion US$2005/yr);Taxes|Final Energy|Industry|Electricity (billion US$2005/yr)
Taxes|Final Energy|Stationary|Gases (billion US$2005/yr);Taxes|Final Energy|Industry|Gases|Natural Gas (billion US$2005/yr)
Taxes|Final Energy|Stationary|Liquids (billion US$2005/yr);Taxes|Final Energy|Industry|Liquids|Oil (billion US$2005/yr)
Taxes|Final Energy|Stationary|Solids (billion US$2005/yr);Taxes|Final Energy|Industry|Solids|Coal (billion US$2005/yr)
Taxes|Final Energy|Transportation (billion US$2005/yr);Taxes|Final Energy|Transportation (billion US$2005/yr)
